ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
486	Yolmo			nà			to be sore or ill	1847	SICK	3
487	Yolmo	BLACK	163	nàkpu			black	163	BLACK	2
488	Yolmo	DAY AFTER TOMORROW	1179	nàŋ dìna			the day after tomorrow	1179	DAY AFTER TOMORROW	1
489	Yolmo	BEGGAR	1934	náŋgandi			beggar	1934	BEGGAR	2
490	Yolmo			náŋ			to ask for something, polite form		???	
491	Yolmo	TOMORROW	1329	nàŋbar			tomorrow	1329	TOMORROW	2
492	Yolmo			náŋma			Buddhist		???	
493	Yolmo			nàŋma			the inner layer of a basket		???	
496	Yolmo	SHOP	746	dógan			shop	746	SHOP	2
497	Yolmo			dòp			bushland		???	
498	Yolmo	NASAL MUCUS (SNOT)	208	nápʃal			snot, or  nasal mucus	208	NASAL MUCUS (SNOT)	4
500	Yolmo	WHEN	1238	nàm			when	1238	WHEN	2
502	Yolmo	EARLY	672	nàm súmu			early	672	EARLY	2
503	Yolmo	EAR	1247	námdzo			ear	1247	EAR	2
504	Yolmo	DIRTY	1230	námda			dirty	1230	DIRTY	2
505	Yolmo			námli			headstrap		???	
506	Yolmo	NOSE	1221	náasum			nose	1221	NOSE	2
507	Yolmo			náaso			a gift	2982	GIFT	3
508	Yolmo			ní			adds politeness to the utterance		???	
511	Yolmo			núŋtʃa			an idea		???	
512	Yolmo	OIL (ORGANIC SUBSTANCE)	1484	núm			oil	1484	OIL (ORGANIC SUBSTANCE)	2
513	Yolmo			nùrpu			diamond		???	
514	Yolmo			nùrma			a type of alcoholic drink		???	
515	Yolmo			néki			a smaller cooking pot, often made of bronze		???	
516	Yolmo	SING	1261	nèn			to sing	1261	SING	1
518	Yolmo	OAT	60	née			oats	60	OAT	2
519	Yolmo			née kór			pilgrimage		???	
520	Yolmo	THINK	2271	née			to think	2271	THINK	1
522	Yolmo			néesa			a resting place near a road		???	
523	Yolmo	SPOIL (SOMEBODY OR SOMETHING)	92	nòŋ			to spoil	92	SPOIL (SOMEBODY OR SOMETHING)	1
524	Yolmo	SHARP	1396	nómbo			sharp	1396	SHARP	2
525	Yolmo	YOUNGER SISTER	1761	nòmo			younger sister	1761	YOUNGER SISTER	2
526	Yolmo			nòrgunma			the Hindu goddess Laxmi, as  worshiped by some Yolmo  people		???	
527	Yolmo	YOUNGER BROTHER	1760	nòo			younger brother	1760	YOUNGER BROTHER	2
529	Yolmo	SIDE	682	páʈi			side	682	SIDE	2
530	Yolmo	COW	1007	pàlaŋ			cow	1007	COW	2
531	Yolmo			pàk			dumpling		???	
532	Yolmo	MOTORCYCLE	638	pàkpa			motorbike	638	MOTORCYCLE	2
533	Yolmo			pàkpe tsámba			wheat flour		???	
534	Yolmo			pàka			married		???	
535	Yolmo			páŋdza			grassy field		???	
536	Yolmo	WET	1726	pàŋpaŋba			wet	1726	WET	2
537	Yolmo			pádi kàŋ			one  thousand	1843	THOUSAND	4
538	Yolmo			pádi tʃú			ten  thousand	2078	TEN THOUSAND	4
539	Yolmo			pánbu			the rim of a  basket		???	
540	Yolmo	DRAGONFLY	2352	pánima bù			 dragonfly	2352	DRAGONFLY	4
541	Yolmo	BARK	1204	pába			tree bark	1204	BARK	2
542	Yolmo	BETWEEN	689	pàrkila			between	689	BETWEEN	2
543	Yolmo			pár			to light a candle		???	
544	Yolmo	ROOF	769	páli			roof	769	ROOF	2
545	Yolmo	FROG	503	pàlba			frog	503	FROG	2
546	Yolmo	SPINACH	975	páluŋ tséma			spinach	975	SPINACH	4
547	Yolmo			pásagi tséma			mustard greens		???	
548	Yolmo	HOLD	1448	pàa			to hold	1448	HOLD	1
549	Yolmo	WEDDING	1259	pàama			wedding	1259	WEDDING	4
551	Yolmo			pí			to take off	1755	UNDRESS	4
554	Yolmo	BIRD	937	píʈuli			bird	937	BIRD	2
555	Yolmo	PORCUPINE	2510	pìtiri			porcupine	2510	PORCUPINE	2
556	Yolmo	STOOL	2058	pírka			stool	2058	STOOL	2
557	Yolmo			pírma			semolina		???	
558	Yolmo	STRAW	2299	páral			straw	2230	UNTAMED OR WILD	2
559	Yolmo			pìru			coral, or a necklace made of coral	668	ROCK	4
560	Yolmo	SMALL	1246	pìru			small	1246	SMALL	2
561	Yolmo	SON	1620	pù			son	1620	SON	2
562	Yolmo			pùŋga			mustard		???	
563	Yolmo			pùzi			a wooden tumbler  with lid specifically for raksi		???	
564	Yolmo			póŋ			jar		???	
565	Yolmo			pòtsi			gills	1916	GILL	4
566	Yolmo			pótrika			magazine		???	
567	Yolmo	DAUGHTER	1357	pòmo			daughter	1357	DAUGHTER	2
568	Yolmo			pòrtsa			bamboo matting		???	
569	Yolmo	LEAVE	1752	pòr			leave	1752	LEAVE	2
570	Yolmo			póldum			pants	809	TROUSERS	4
572	Yolmo	NEAR	1942	pòla			near	1942	NEAR	2
573	Yolmo			pùmba			a metal jug  with a thin spout		???	
574	Yolmo	DO	813	pè			to do	813	DO	1
575	Yolmo			pé bùr			censer		???	
576	Yolmo	WOMAN	962	pèmpiʒa			woman	962	WOMAN	2
577	Yolmo			pèe			Tibet, more specifically, Lhasa		???	
578	Yolmo	WIFE	1199	pèemi			wife	1199	WIFE	2
579	Yolmo			pò			to come out		???	
580	Yolmo			pyáŋ			to hang  something		???	
581	Yolmo			pyàk			parcel		???	
582	Yolmo			pràŋ			molasses, or any  sweet sticky substance from  trees; honey	942	HONEY	4
583	Yolmo	CHEST	1592	pràŋbu			chest	1592	CHEST	2
584	Yolmo			pràŋdʒa			a hug	928	EMBRACE	4
586	Yolmo	WRITE	1672	prù			to write	1672	WRITE	1
587	Yolmo	SNAKE	730	prùl			snake	730	SNAKE	2
589	Yolmo			pháŋ			to hold in one's arms		???	
590	Yolmo			pháŋba			crossed arms or lap		???	
591	Yolmo			pháp			yeast for brewing		???	
592	Yolmo			prèka			a stick	1295	STICK	3
593	Yolmo			préken			a larger monkey, with a white face		???	
594	Yolmo	TASTE (SOMETHING)	21	prèe tà			to taste	21	TASTE (SOMETHING)	1
595	Yolmo			prò			to fall out		???	
596	Yolmo			phártshúr			this way  and that way		???	
597	Yolmo	PUMPKIN	864	phársi			pumpkin	864	PUMPKIN	2
598	Yolmo	WOLF	522	phára			wolf	522	WOLF	2
599	Yolmo			phálgi			beaten rice		???	
600	Yolmo	FRUIT	1507	phálphul			fruit	1507	FRUIT	2
602	Yolmo	BAT	1793	phábaŋ			bat	1793	BAT	2
603	Yolmo	BUTTERFLY	1791	phár			butterfly	1791	BUTTERFLY	2
604	Yolmo			phíma			the outer basket  in a double layered basket		???	
605	Yolmo	JUMP	1829	phír			to jump	1829	JUMP	1
608	Yolmo			phúmba			a large clay jug		???	
610	Yolmo	BELLY	1251	phò			belly	1251	BELLY	2
612	Yolmo	HALF	816	phé			half	816	HALF	2
613	Yolmo	SOAP	788	phóoʃop			soap	788	SOAP	2
614	Yolmo			phyá			to wipe something		???	
615	Yolmo	BROOM	245	phyáma			broom	245	BROOM	2
616	Yolmo			phró			to snatch		???	
617	Yolmo			bàamen			Brahmin		???	
618	Yolmo	WEDDING	1259	bìha			wedding	1259	WEDDING	4
619	Yolmo	WALL (OF HOUSE)	933	bìta			wall	933	WALL (OF HOUSE)	2
621	Yolmo	CATERPILLAR	2247	bù sìkpa			caterpillar	2247	CATERPILLAR	2
624	Yolmo	AUBERGINE	1146	bènda			eggplant	1146	AUBERGINE	2
625	Yolmo	GARDEN	586	bàri			garden	586	GARDEN	2
626	Yolmo			bàrbari mèndo			mint		???	
627	Yolmo			bàr tòŋbo			a banyan tree		???	
628	Yolmo			bèlala			at the time, not commonly used		???	
629	Yolmo	VERY	1311	bèsari			very	1311	VERY	2
631	Yolmo			bòɖa			kidney beans		???	
632	Yolmo	RICE	926	brèe			uncooked rice	926	RICE	2
633	Yolmo			mànɖi			a blanket	806	BLANKET	3
634	Yolmo	LOVE	923	màya			love	923	LOVE	2
637	Yolmo			máŋra			facial hair		???	
639	Yolmo			mádi			comparison		???	
640	Yolmo			n			two  hundred	2676	TWO HUNDRED	4
641	Yolmo	IF	1459	máni			if	1459	IF	2
642	Yolmo			màni			ritual prayer		???	
643	Yolmo			màr			butter; ghee	1245	BUTTER	4
644	Yolmo	DOWN	1326	màr			down	1326	DOWN	2
645	Yolmo	NUT	191	mártsi			chilli	191	CHILI PEPPER	2
646	Yolmo	RED	156	màrmu			red	156	RED	2
647	Yolmo	CARROT	3085	màrmu làbu			carrot	3085	CARROT	2
648	Yolmo	PERSON	683	mì			person	683	PERSON	2
649	Yolmo	EYEBROW	1173	mítsa			eyebrow	1173	EYEBROW	2
651	Yolmo	TICK	1527	míli ʃíi			tick	1527	TICK	2
652	Yolmo			míliŋ tséma			bamboo shoots	2494	BAMBOO SHOOT	4
653	Yolmo			mílim			smaller bamboo, often used in basket weaving		???	
654	Yolmo			mílam			a dream	2374	DREAM	3
655	Yolmo	EYE	1248	míi			eye	1248	EYE	2
656	Yolmo			míikʃél			reading glasses		???	
657	Yolmo			míima			a smaller bamboo treated and split into  thinner strips for basket  weaving		???	
659	Yolmo	FOREHEAD	123	múrtsa			forehead	123	FOREHEAD	2
660	Yolmo	RUB	1449	múr			to rub	1449	RUB	1
661	Yolmo	CHEW	321	mùr			chew	321	CHEW	2
663	Yolmo	FIRE	221	mè			fire	221	FIRE	2
664	Yolmo			mè			the negative form of yè, the existential copula		???	
665	Yolmo			mèke			the negative form of yèke, the past tense  form of the existential copula		???	
666	Yolmo			mèʈo			the negative  form of yèʈo, the uncertain  existential copula		???	
667	Yolmo	MEDICINE	1372	mén			medicine	1372	MEDICINE	2
668	Yolmo	BOWL	1530	mèndʒa			bowl	1530	BOWL	2
669	Yolmo			mènda			numeral classifier, used only for people		???	
670	Yolmo	FLOWER	239	mèndo			flower	239	FLOWER	2
671	Yolmo			ména			cumin		???	
673	Yolmo			mài			a female  buffalo		???	
674	Yolmo	BUFFALO	934	mài rágo			buffalo	934	BUFFALO	2
675	Yolmo	BAD	1292	màiba			bad	1292	BAD	2
676	Yolmo			mòomo			a small  dumpling		???	
678	Yolmo	SHY	487	ŋòtʃha			shy	487	SHY	2
679	Yolmo	SOCK	1522	mòdza			sock	1522	SOCK	2
680	Yolmo			yíp			to hide something and trick someone		???	
681	Yolmo	GRANDMOTHER	1496	yíbi			grandmother	1496	GRANDMOTHER	2
682	Yolmo	TURN	1588	yìr			to turn	1588	TURN	1
683	Yolmo	COURTYARD	4	yíldo			courtyard	4	COURTYARD	2
684	Yolmo			yùŋga			saffron; turmeric	2842	TURMERIC	4
685	Yolmo	SHAKE	1909	yúŋ			to shake	1909	SHAKE	1
686	Yolmo			yù			to stroll		???	
687	Yolmo			yùr			to turn soil		???	
688	Yolmo	VILLAGE	930	yùl			village	930	VILLAGE	2
689	Yolmo	YAK	2477	yák			yak	2477	YAK	2
690	Yolmo			yáŋdi			something that is light of weight		???	
691	Yolmo			yàmbi			moment		???	
692	Yolmo			yàrla			above something		???	
693	Yolmo			yálo tséema			a leafy green vegetable		???	
694	Yolmo	GOOD	1035	yàabu			good	1035	GOOD	2
695	Yolmo	LETTER	1612	yìgi			letter	1612	LETTER	2
696	Yolmo	ALL	98	yìndze mìndze			everything	98	ALL	2
697	Yolmo			yìndzo			from there		???	
699	Yolmo			yè			the existential  copula		???	
700	Yolmo			yèke			the past tense  form of the existential copula		???	
701	Yolmo			yèʈo			the existential  copula for uncertainty		???	
702	Yolmo			yèndʒap phúl			 seven small metal bowls filled with water placed on an alter  as an offering to the gods		???	
703	Yolmo	GOAT	1502	rà			goat	1502	GOAT	2
704	Yolmo	FIGHT	1423	rà			fight	1423	FIGHT	2
705	Yolmo	AND	1577	ráŋ			and	1577	AND	2
708	Yolmo	LOOM	1787	ràʈa			loom	1787	LOOM	2
709	Yolmo			ràpalaŋ			mulberry		???	
710	Yolmo	NOODLE	973	rára			noodles	973	NOODLE	2
711	Yolmo	LIKE	1117	ràra			like	1117	LIKE	2
712	Yolmo			rál			to tear something		???	
713	Yolmo			ràlràlba			moment		???	
714	Yolmo			yée			an exclamation of  mild surprise		???	
715	Yolmo	COOK (SOMETHING)	1100	yò			to cook	1100	COOK (SOMETHING)	1
716	Yolmo			yóndo			a stick with a cloth covered head used to  push grain into the thresher		???	
719	Yolmo	FOREST	420	rì			forest	420	FOREST	2
720	Yolmo	YAM	410	rì hée			yam	410	YAM	2
721	Yolmo	LONG	1203	rìŋbu			long	1203	LONG	2
722	Yolmo	ANIMAL	619	rìda			animal	619	ANIMAL	2
723	Yolmo			rìmbur tʃhé			a reincarnate lama		???	
724	Yolmo			ríl			to cause to fall		???	
726	Yolmo	GATHER	7	rùp			to gather	7	GATHER	1
727	Yolmo			rùl			to rot	2907	ROT	1
728	Yolmo	ROTTEN	1728	rùlrulba			rotten	1728	ROTTEN	2
729	Yolmo			rùsusus			driftingly, Tf		???	
730	Yolmo	MOUNTAIN	639	là			mountain	639	MOUNTAIN	2
731	Yolmo	HAND	1277	làkpa			hand	1277	HAND	2
733	Yolmo			réndza			soybeans		???	
734	Yolmo			rèeree			one each		???	
735	Yolmo			láŋ			to pick  something up		???	
736	Yolmo			làŋ			to stand; to  rise	1442	STAND	3
738	Yolmo			làp			to say  something		???	
739	Yolmo			làpna			conditional  marker		???	
740	Yolmo	CHEESE	1569	làba			cheese	1569	CHEESE	2
741	Yolmo	RADISH	2365	làbu			radish	2365	RADISH	4
743	Yolmo			láma			Lama, a Buddhist priest		???	
745	Yolmo	CUCUMBER	496	lásii			cucumber	496	CUCUMBER	2
746	Yolmo	ARRIVE	1387	lép			to arrive	1387	ARRIVE	1
747	Yolmo	FLAT	1633	lépʈa			flat	1633	FLAT	2
748	Yolmo	BRAIN	1583	lépa			brain	1583	BRAIN	2
749	Yolmo			lée			convincing		???	
750	Yolmo			ló			reported speech particle, used to mark what has been said		???	
751	Yolmo	YEAR	1226	lò			year	1226	YEAR	2
752	Yolmo	COME BACK	581	lò			to return	581	COME BACK	1
753	Yolmo			lòŋ			to break even, come out even		???	
754	Yolmo	COUGH	879	lópkyal			cough	879	COUGH	2
755	Yolmo	LEARN	504	lóp			to learn	504	LEARN	1
756	Yolmo	SHEEP	1331	lù			sheep	1331	SHEEP	2
757	Yolmo			lúŋdar			prayer flags		???	
758	Yolmo	SPINE	805	lùŋso			spine	805	SPINE	2
759	Yolmo			lú			to put into		???	
760	Yolmo			lùndi			jackal		???	
762	Yolmo			lékam			sandals		???	
763	Yolmo	TAKE	1749	lèn			to take	1749	TAKE	1
764	Yolmo			lóma			a winnowing tray		???	
766	Yolmo	GOD	1944	lhá			god	1944	GOD	2
767	Yolmo	WIND	960	lhába			wind	960	WIND	2
768	Yolmo			lháma			stale		???	
769	Yolmo			lhámu			goddess		???	
770	Yolmo	SOUTH	1595	lhó			south	1595	SOUTH	2
772	Yolmo	EAT	1336	sà			to eat	1336	EAT	1
773	Yolmo	SUNDAY	1699	sà ɲáma			Sunday	1699	SUNDAY	2
774	Yolmo			sàŋ dìk			a large copper cooking pot		???	
775	Yolmo			sàŋgi bàgari			a large brass pot used for  storing water and food items  such as rice		???	
776	Yolmo			ságar			whitewash		???	
777	Yolmo	NEXT YEAR	515	sáŋbi			next year	515	NEXT YEAR	2
778	Yolmo	SATURDAY	1700	sà pémba			Saturday	1700	SATURDAY	2
779	Yolmo	TUESDAY	1695	sà mìŋmar			Tuesday	1695	TUESDAY	2
780	Yolmo	WEDNESDAY	1694	sà lhákpa			Wednesday	1694	WEDNESDAY	2
782	Yolmo	KEY	1472	sádzo			key	1472	KEY	2
783	Yolmo	WEEK	1469	sáta			week	1469	WEEK	2
784	Yolmo			sàndan			human offspring		???	
785	Yolmo	NEW	1231	sámba			new	1231	NEW	2
786	Yolmo	BRIDGE	1011	sàmba			bridge	1011	BRIDGE	2
787	Yolmo			sàru			a type of bird		???	
788	Yolmo			sàl			to converse		???	
789	Yolmo	CLEAN (SOMETHING)	2235	sál			to clean	2235	CLEAN (SOMETHING)	1
790	Yolmo	FOOD	256	sàse			food	256	FOOD	2
791	Yolmo	BURN	2102	sáa			to burn	2102	BURN	1
792	Yolmo			sì			a necklace made of coral worn by men		???	
793	Yolmo			sìnda			hectic		???	
795	Yolmo			síniŋ			two years ago		???	
797	Yolmo			síiɖi			red clay used to  make floors and coat walls		???	
799	Yolmo	AMULET	2804	súŋa			amulet	2804	AMULET	2
800	Yolmo	THREE	492	súm			three	492	THREE	2
801	Yolmo	THIRD	1859	súmba			third	1859	THIRD	2
802	Yolmo			súr			to put into something close fitting		???	
803	Yolmo	NEAR	1942	sùrla			near	1942	NEAR	2
804	Yolmo	EMBERS	67	sùla			embers	67	EMBERS	2
805	Yolmo			sùli			a stack of corn, elevated and left to dry		???	
806	Yolmo	KILL	1417	sé			to kill	1417	KILL	1
807	Yolmo			sè			a thing	738	THING	3
808	Yolmo	KILL	1417	séter			to kill	1417	KILL	1
809	Yolmo	SEED	714	sén			seed	714	SEED	2
810	Yolmo			sébi			two years ahead		???	
812	Yolmo	GOLD	1369	sér			gold	1369	GOLD	2
813	Yolmo			sérki			golden		???	
815	Yolmo	HAIL	609	séra			hail	609	HAIL	2
816	Yolmo			sèe			prepare to receive		???	
817	Yolmo	MIX	2017	sée			mix	2017	MIX	2
818	Yolmo	ANIMAL	619	sémdzen			animal	619	ANIMAL	2
819	Yolmo			ʃáŋ			to churn  buttermilk		???	
822	Yolmo	GREASY	955	ʃàk			greasy	955	GREASY	2
824	Yolmo			ʃáma			afterbirth		???	
825	Yolmo			só			to raise	1317	RAISE	1
826	Yolmo			sòtor			fern		???	
827	Yolmo			sòmba			traditional long boots made of cloth and  leather, still worn for special  occasions		???	
828	Yolmo	BE ALIVE	1422	sómbo			alive	1422	BE ALIVE	2
829	Yolmo	NIT	267	sóma			louse egg	267	NIT	2
831	Yolmo	SHINE	708	ʃár			to shine, as the  sun	708	SHINE	3
833	Yolmo	GO OUT	1107	ʃál			to exit	1107	GO OUT	1
834	Yolmo	FRUIT	1507	ʃíŋɖo			fruit	1507	FRUIT	2
835	Yolmo	DIE	1494	ʃí			to die	1494	DIE	1
836	Yolmo	SIT	1416	ʃù			to sit, honorific	1416	SIT	3
837	Yolmo			ʃùkpa			incense		???	
838	Yolmo	ENTER	749	ʃùu			to enter	749	ENTER	1
840	Yolmo			ʃé kyàŋ			to stretch one's limbs		???	
841	Yolmo	EAST	1877	ʃér			east	1877	EAST	2
842	Yolmo	KNOW (SOMETHING)	1410	ʃée			to know	1410	KNOW (SOMETHING)	1
843	Yolmo			ʃò			curd		???	
844	Yolmo			ʃò			to brush	3109	BRUSH (TEETH)	3
845	Yolmo			ʃó			the imperative  of 'come'		???	
847	Yolmo			ʃór			to get out		???	
848	Yolmo			ʃáa			to split by cutting or sawing		???	
849	Yolmo	SKIRT	1600	ʃàama			skirt	1600	SKIRT	2
850	Yolmo	FOUR	1500	ʃì			four	1500	FOUR	2
851	Yolmo			ʃí khú			smaller white lice		???	
852	Yolmo	HUNT	1435	ʃíkar tsá			to hunt	1435	HUNT	1
853	Yolmo	FARM	201	ʃìŋ			farm	201	FARM	2
854	Yolmo	ANGER	82	ʃìtaŋ			anger	82	ANGER	2
855	Yolmo			ʃìba			fourth		???	
856	Yolmo	BEAN	832	ʃími			beans	832	BEAN	2
857	Yolmo	TASTY	1813	ʃìmbu			tasty	1813	TASTY	2
859	Yolmo	DEAD	1625	ʃíba			dead	1625	DEAD	2
860	Yolmo			ʃíka			a rupee		???	
862	Yolmo	WOOD	1803	ʃíŋ			wood	1803	WOOD	2
863	Yolmo	CHESTNUT TREE	1009	ʃíŋgar			chestnut tree	1009	CHESTNUT TREE	4
864	Yolmo	DUCK	1360	ʃóo			duck	1360	DUCK	2
865	Yolmo			yìmba			copula verb		???	
866	Yolmo			húŋgar			horse radish		???	
867	Yolmo	POTATO	593	hée			potato	593	POTATO	2
868	Yolmo			òm			to convince, to  woo		???	
870	Yolmo			òrta			a fence	1690	FENCE	3
871	Yolmo			òraŋ			first person  plural inclusive		???	
872	Yolmo			hòbrakpa			red  panda		???	
873	Yolmo			ònɖa			that way		???	
#	612/873	70%							

