ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	script	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
385	Lowa	NINE	1483	ʟgʲadzu ʟgʲak‍ku			nine	ग्याजकु्ग्याक्ककु	1483	NINE	2
386	Lowa	ONE	1493	ʟgʲadzu ʟgʲak‍tsi			one	ग्याजकु्ग्याक्ची	1493	ONE	2
387	Lowa	THREE	492	ʟgʲadzu ʟgʲak‍sum			three	ग्याजकु्ग्याक्सकुम	492	THREE	2
388	Lowa	EIGHT	1705	ʟgʲadzu ʟgʲap‍gʲet			eight	ग्याजकु्ग्याप्ग्येत	1705	EIGHT	2
389	Lowa	SEVEN	1704	ʟgʲadzu ʟgʲap‍ʟtyn			seven	ग्याजकु्ग्याप्धीि	1704	SEVEN	2
390	Lowa	FIVE	493	ʟgʲadzu ʟgʲeŋa			five	ग्याजकु्ग्येङा	493	FIVE	2
391	Lowa	SIX	1703	ʟgʲadzu ʟgʲeʟʈuk			six	ग्याजकु्ग्येढकुक	1703	SIX	2
392	Lowa	FOUR	1500	ʟgʲadzu ʟgʲewi			four	ग्याजकु्ग्येिी	1500	FOUR	2
393	Lowa			ʟgʲadzuŋ			 crown prince, heir to the throne	ग्याजकुङ		???	
394	Lowa			ʟgʲaʟʈum			 soft woollen carpet	ग्याढकुम		???	
395	Lowa			ʟgʲat‍tu			 hundreds	ग्यात्तकु		???	
397	Lowa			ʟgʲap‍tsa			 back force	ग्याप्चा		???	
398	Lowa			ʟgʲap‍ʲok			s cover	ग्याप्योक		???	
399	Lowa	BUCKWHEAT	2040	ʟgʲap‍re			 buckwheat	ग्याप्रे	2040	BUCKWHEAT	4
401	Lowa	OPPOSITE	885	ʟgʲap‍lok			 contrary, opposite	ग्याप्लोक	885	OPPOSITE	4
402	Lowa			ʟgʲami ᴴŋo ᴴpadze			 green leafy vegetable	ग्यामी्ॱङो्पाजे		???	
403	Lowa			ʟgʲalam			 big road	ग्यालाम		???	
404	Lowa			ʟgʲaliŋ			ama	ग्यालीङ		???	
405	Lowa			ʟgʲalin			 type of soyabean	ग्यालीि		???	
406	Lowa	KING	1508	ʟgʲawu			 king, monarch, sovereign	￼￼￼ग्यािकु	1508	KING	4
407	Lowa			ʟgʲik			 rubber	ग्यीक		???	
408	Lowa			ʟgʲikuŋ			of the	ग्यीककुङ		???	
409	Lowa	BUCKET	2052	ʟgʲik‍dzu			 bucket	ग्यीकज् कु	2052	BUCKET	4
410	Lowa			ʟgʲik‍ten			 foam mattress	ग्यीकत् िे		???	
411	Lowa			ʟgʲik‍ma			typeofgrassseed	ग्यीकम् ा		???	
412	Lowa			ʟgʲyn			 leather rope	ग्यीि		???	
413	Lowa			ʟgʲyn ʟʈagin			 make rope out of skin	ग्यीि्ढागीि		???	
414	Lowa			ʟgʲuk‍toŋ			 strong horizontal main beam at the highest point of a roof	ग्यकुक्तोङ		???	
417	Lowa			ʟgʲepa			eighth	ग्येपा		???	
420	Lowa			ʟkak			 belching, burping	घाक		???	
421	Lowa			ʟka			 saddlebags	￼￼￼घा		???	
422	Lowa			ʟkaːra			 name of a village	घाःरा		???	
423	Lowa			ʟkak‍ta			 drinking water from a jug	घाक्ता		???	
424	Lowa			ʟkagin			behappy	घागीि		???	
425	Lowa			ʟkaʟkoŋi			 unleveled	घाघोङी		???	
427	Lowa			ʟkada			 sack with two pockets	घादा		???	
428	Lowa	BALD	1125	ʟkaʟtera			bald	घाधरेा	1125	BALD	2
429	Lowa	WHERE	1237	ʟkanaŋ			 where	घािाङ	1237	WHERE	4
430	Lowa			ʟkane			 from where	घािे		???	
431	Lowa			ʟkam			 crop storing wooden box	घाम		???	
432	Lowa			ʟkaru ʟhin‍na			 wherever	घारू्हीन्िा		???	
433	Lowa			ʟkawu			 lover	hall, ballroom, theatre घािकु		???	
434	Lowa	BECAUSE	1157	ʟki ʟtsʝeri ᴴnana			 because	घी्झ्येरी्ॱिािा	1157	BECAUSE	4
435	Lowa	WHERE	1237	ʟki ᴴsʲok‍la			 where	घी्स्योक्ला	1237	WHERE	4
436	Lowa			ʟkidu			 property	घीदकु		???	
437	Lowa			ʟkimik			 name of a village	घीमीक		???	
438	Lowa			ʟkiluŋ			 name of a village	घीलकुङ		???	
439	Lowa	WINTER	1471	ʟkyŋga			 winter	घीङगा	1471	WINTER	4
443	Lowa	SIGN	1720	ʟkugek			 sign	घकुगके	1720	SIGN	4
444	Lowa			ʟkuŋi			 three years before	घकुङी		???	
445	Lowa			ʟkutsʲu ᴴtʰøn‍gin			 stooped	घकुच्यकु्थछो़न्गीि		???	
447	Lowa			ʟkuduk			th day of month	घकुदककु		???	
448	Lowa			ʟkuduk ʟkuduk			s hooves	घकुदककु ्घकुदककु		???	
449	Lowa			ʟkuduruk ʟkuduruk			 sound of chewing roasted peas	घकुदरूकु क्घकुदरूकु क		???	
450	Lowa	FOUR	1500	ʟkup‍tsʲu ʟkøwi			four	घकुप्च्यकु्घछो़िी	1500	FOUR	2
451	Lowa			ʟkup‍ruk			 part of pea crop leftover	घकुप्रूक		???	
452	Lowa			ʟkuʲa			 plant grown on hillside	घकुया		???	
453	Lowa			ʟkurtʰuk‍kin			 be able to tolerate	घकुरथकुक्कीि		???	
454	Lowa			ʟkuri			 card game	घकुरी		???	
455	Lowa			ʟkururu ʟkururu			 sound of flying birds	घकुरूरू्घकुरूरू		???	
456	Lowa			ʟkuwa			 nine times	घकुिा		???	
459	Lowa	WASTE	79	ʟkeŋik			 waste, rubbish	घेङीक	79	WASTE	4
460	Lowa			ʟken‍dzu ᴴkʰaŋ			 home or centre for the elderly	घेन्जकु्खाङ	2406	HOME	4
461	Lowa			ʟker			 personal, individual	घेर		???	
462	Lowa			ʟkewa ᴴtsʲʰe			 religious, pious man	￼￼￼￼घेिा्के	303	ABSTAIN FROM FOOD	4
463	Lowa			ʟkesem ᴴtsʲʰe			 religious, pious, devout	घेसमे ्के	303	ABSTAIN FROM FOOD	4
465	Lowa	KNOCK	2396	ʟko ʟtuŋgin			 knock	घो्धकुङगीि	2396	KNOCK	4
466	Lowa			ʟko ʟpak‍ku			 main gate	घो्भाक्ककु		???	
468	Lowa	ASH	646	ʟkok‍ta			 ashes	घोक्ता	646	ASH	4
469	Lowa			ʟkok‍pu			 wooden bowl	घोक्पकु		???	
470	Lowa	LION	1386	ʟkoŋ			 lion	घोङ	1386	LION	4
471	Lowa			ʟkoŋgin			 be furious	घोङगीि		???	
472	Lowa	FORGIVE	1528	ʟkoŋba ᴴterkin			 forgive	घोङबा्तरे कीि	1528	FORGIVE	4
473	Lowa			ʟkoŋruk			 eggshell	घोङरूक		???	
477	Lowa			ʟkodin			 lower part of the door	घोदीि		???	
478	Lowa			ʟkop‍tsok			door message	घोप्चोक		???	
480	Lowa			ʟkom‍ba			uddhist monastery	घोम्बा		???	
481	Lowa			ʟkoʲu			 curtain used to cover a doorway	घोयकु		???	
484	Lowa			ʟkore			 watchman	घोरे		???	
485	Lowa			ʟkoror ʟkoror			 snoring sound	घोरोर्घोरोर		???	
486	Lowa			ʟkoloŋ ʟkoloŋ			 sound made by abell	घोलोङ्घोलोङ		???	
488	Lowa			ʟkol‍la ᴴtsʲʰak‍kin			 be confused, be puzzled, be detained	घोल्ला्काक्कीि		???	
490	Lowa	UNDERSTAND	1536	ʟkowa ᴴtʰep‍kin			 understand	घोिा्थपे ्कीि	1536	UNDERSTAND	4
492	Lowa			ʟkø			like clothing	घछो़		???	
493	Lowa			ʟkøk‍ma			 female horse	घछो़क्मा		???	
494	Lowa			ʟkøkʲi			 place beside an oven to put ashes	घछो़कयी		???	
496	Lowa			ʟkøŋʲik			 type of spice found in the field	￼￼￼￼घछो़ङयीक		???	
497	Lowa	SILK	1641	ʟkødzin			 silk	घछो़जीि	1641	SILK	4
499	Lowa			ʟnʝaʟnʝokʲi			 curly, messy	ङया्ङयोक्यी		???	
501	Lowa	FLAT	1633	ʟnʝak ʟnʝak			 flat, flattened	ङयाक्ङयाक	1633	FLAT	4
502	Lowa	BEDROOM	2505	ʟnʝagaŋ			 bedroom	ङयागाङ	2505	BEDROOM	4
504	Lowa	BED	1663	ʟnʝadza			 bed, bedstead	ङयाजा	1663	BED	4
505	Lowa			ʟnʝadzi ʟnaŋdu ᴴtsʲʰygin			 seriously	ङयाजी्िाङद्कु कीगीि		???	
506	Lowa			ʟnʝamu			 having child before marriage	ङयामकु		???	
507	Lowa			ʟnʝam‍ʟnʝuŋ			 experience	ङयाम्ङयकुङ		???	
508	Lowa	EXPERIENCED	2218	ʟnʝam‍ʟnʝuŋ ʟtsʝetsa			 experienced, perceptive	ङयाम्ङयकुङ्झ्येचा	2218	EXPERIENCED	4
509	Lowa			ʟnʝam‍ɖok			 name of a village	ङयाम्डोक		???	
511	Lowa			ʟnʝaluk			 having an illegitimate son	ङयालकुक		???	
512	Lowa			ʟnʝuŋgin			 lack	ङयकुङगीि	2329	LACK (NOT HAVE)	4
514	Lowa			ʟnʝuŋdze ᴴtsʲik			 little in quantity	ङयकुङज्े च्यीक		???	
515	Lowa	ATTENTIVE	1908	ʟnʝen‍ŋi døgin			 eager to listen, attentive	ङयेनङ् ी्दछो़गीि	1908	ATTENTIVE	4
516	Lowa			ʟnʝen‍daŋ			 hearing, listening	ङयेनद् ाङ	2518	HEARING (AURAL SENSE)	4
519	Lowa			ʟnʝok ʟnʝok			 fragile	ङयोक्ङयोक		???	
520	Lowa			ʟnʝok‍kin			 make a mess	ङयोक्कीि		???	
521	Lowa			ʟnʝokʲi			 in a disgusting way	ङयोक्यी		???	
523	Lowa			ʟnʝo‍gu ᴴtsoŋgin			 irritate by continuous talk on unimportant things	ङयो्गकु्चोङगीि		???	
524	Lowa			ʟnʝop‍kin			 get bored	ङयोप्कीि		???	
527	Lowa			ʟnʝobi			 lazy face, sickening face	ङयोबी		???	
529	Lowa			ʟŋak‍la ᴴtsuk‍kin			 read or say over and over again, to cause to learn by rote	ङाक्ला्चकुक्कीि	724	READ	4
531	Lowa			ʟŋadak			 resting place	ङादाक		???	
532	Lowa	SELF	1993	ʟŋaraŋ			 self, oneself	ङाराङ	1993	SELF	4
533	Lowa			ʟŋaraŋ ʟraŋ			 myself	ङाराङ्राङ		???	
534	Lowa			ʟŋari			 mine, individual, private	ङारी		???	
535	Lowa			ʟŋiŋgaŋ			 all day long	ङीङगाङ		???	
538	Lowa	UMBRELLA	3105	ʟŋitu			 umbrella	ङीतकु	3105	UMBRELLA	4
539	Lowa	SUNNY	2340	ʟŋin ʟte			 sunny	ङीि्धे	2340	SUNNY	4
540	Lowa			ʟŋibak			 double	￼￼￼ङीबाक		???	
541	Lowa	SUNSET	2295	ʟŋima ᴴpʰep‍kin			 sunset	ङीमा्फे प्कीि	2295	SUNSET	4
542	Lowa			ʟŋimi ʟhøk			 sun light	ङीमी्हछो़क		???	
543	Lowa			ʟŋim‍du			 tradition of determining time of day by the sun	ङीम्दकु		???	
544	Lowa			ʟŋiri			 discrimination, inequality, difference of opinion, sense	ङीरी	2572	SENSE (PERCEIVE BY SENSES)	4
545	Lowa			ʟŋilok			 solar light	ङीलोक		???	
546	Lowa	TWENTY	1710	ʟŋiwu			 twenty	ङीिकु	1710	TWENTY	4
547	Lowa	TWENTY	1710	ʟŋisʲu			 twenty	ङीस्यकु	1710	TWENTY	4
548	Lowa	NINE	1483	ʟŋisʲu ᴴtsak‍ku			nine	ङीस्यकु्चाक्ककु	1483	NINE	2
549	Lowa	ONE	1493	ʟŋisʲu ᴴtsak‍tsʲik			one	ङीस्यकु्चाक्च्यीक	1493	ONE	2
550	Lowa	THREE	492	ʟŋisʲu ᴴtsak‍sum			three	ङीस्यकु्चाक्सकुम	492	THREE	2
551	Lowa	SEVEN	1704	ʟŋisʲu ᴴtsap‍dyn			seven	ङीस्यकु्चाप्दीि	1704	SEVEN	2
552	Lowa	FOUR	1500	ʟŋisʲu ᴴtsap‍ʟsʲi			four	ङीस्यकु्चाप्श्यी	1500	FOUR	2
553	Lowa	SIX	1703	ʟŋisʲu ᴴtseʟʈuk			six	ङीस्यकु्चढे कुक	1703	SIX	2
554	Lowa	EIGHT	1705	ʟŋisʲu ᴴtsʲap‍gʲek			eight	ङीस्यकु्च्याप्ग्येक	1705	EIGHT	2
555	Lowa	FIVE	493	ʟŋisʲu ᴴtsʲeŋa			five	ङीस्यकु्च्येङा	493	FIVE	2
556	Lowa	SIX	1703	ʟŋeɖuk			six	￼￼￼ङेडकुक	1703	SIX	2
557	Lowa			ʟŋo			 known	ङो		???	
559	Lowa			ʟŋo ʟmegin			 ungrateful, ingrate, traitor	ङो्मगे ीि		???	
560	Lowa	REFUSE	49	ʟŋo ᴴlok‍kin			 refuse, disagree	ङो्ॱलोक्कीि	49	REFUSE	4
562	Lowa			ʟŋotsʰaru ᴴtsʲuk‍kin			 mock	ङोछारू्च्यकुक्कीि	117	IMITATE	4
563	Lowa			ʟŋodok			 real	ङोदोक		???	
564	Lowa			ʟŋom‍gin			be satisfied	ङोम्गीि	1429	FULL	4
565	Lowa			ʟŋom‍sa ᴴtsʲʰe			 desirable	ङोम्सा्के		???	
567	Lowa			ᴴnʲau			 one who goes to fetch bride	ॱङयाउ		???	
568	Lowa			ᴴnʲak			 proper, suitable, appropriate	ॱङयाक		???	
570	Lowa	HELL	878	ᴴnʲawi ᴴtiŋ			 hell, inferno, place where one has to suffer	ॱङयािी्तीङ	878	HELL	4
571	Lowa			ᴴnʲuk‍ʈi			 small knife	ॱङयकुक्टी	1352	KNIFE	4
573	Lowa			ᴴnʲedza			 place for leaning	￼￼￼ॱङयेजा		???	
574	Lowa			ᴴnʲen‍du			 polite	ॱङयेन्दकु	583	KIND OR POLITE	4
576	Lowa	KNEAD	274	ᴴnʲok‍kin			 knead, squeeze and	ॱङयोक्कीि	274	KNEAD	4
578	Lowa			ᴴnʲop‍kin			 reach	ॱङयोप्कीि	1387	ARRIVE	4
579	Lowa			ᴴnʲom‍dze			 balanced	ॱङयोम्जे		???	
580	Lowa			ᴴnʲøgin			become mad or insane, to utter unintelligible words or do things carelessly	ॱङयछो़गीि	1899	MAD	4
582	Lowa			ᴴŋak‍‍pa			ama	ॱङाक्पा		???	
583	Lowa			ᴴŋakw‍ a			uddhist monk who can marry	ॱङाक्िा		???	
584	Lowa	HURRY	754	ᴴŋaŋɖak ᴴtsʲʰe			 haste, hurry, rashness	ॱङाङडाक्के	754	HURRY	4
585	Lowa			ᴴŋa‍tsak‍pa			 sweet and sour	ॱङा्चाक्पा		???	
586	Lowa			ᴴŋadzin			 underestimating, domineering, insulting, oppression	ॱङाजीि		???	
587	Lowa			ᴴŋadzok			 drumstick	ॱङाजोक		???	
588	Lowa	EARLY	672	ᴴŋat‍ti			 early	ॱङातत् ी	672	EARLY	4
589	Lowa	FIFTY	1717	ᴴŋap‍tsʲu			 fifty	ॱङापच् ्यकु	1717	FIFTY	4
590	Lowa	NINE	1483	ᴴŋap‍tsʲu ʟŋak‍ku			nine	ॱङापच् ्यकु्ङाक्ककु	1483	NINE	2
591	Lowa	ONE	1493	ᴴŋap‍tsʲu ʟŋak‍tsʲik			one	ॱङापच् ्यकु्ङाक्च्यीक	1493	ONE	2
592	Lowa	THREE	492	ᴴŋap‍ts‍ʲu ʟŋak‍sum			three	ॱङापच् ्यकु्ङाक्सकुम	492	THREE	2
593	Lowa	EIGHT	1705	ᴴŋap‍tsʲu ʟŋap‍gʲek			eight	ॱङापच् ्यकु्ङाप्ग्येक	1705	EIGHT	2
594	Lowa	SEVEN	1704	ᴴŋap‍tsʲu ʟŋap‍dyn			seven	￼￼￼￼ॱङाप्च्यकु्ङाप्दीि	1704	SEVEN	2
595	Lowa	FOUR	1500	ᴴŋap‍tsʲu ʟŋap‍ʟsʲi			four	ॱङाप्च्यकु्ङाप्श्यी	1500	FOUR	2
596	Lowa	TWO	1498	ᴴŋap‍tsʲu ʟŋeŋŋi			two	ॱङाप्च्यकु्ङेङङी	1498	TWO	2
597	Lowa	FIVE	493	ᴴŋap‍tsʲu ʟŋeŋa			five	ॱङाप्च्यकु्ङेङा	493	FIVE	2
598	Lowa	SIX	1703	ᴴŋap‍tsʲu ʟŋeʟʈuk			six	ॱङाप्च्यकु्ङेढकुक	1703	SIX	2
600	Lowa			ᴴŋawa			fifth	ॱङािा		???	
601	Lowa	SWEET	717	ᴴŋasoli			sweet, sugary, honeyed, sweet taste	ॱङासोली	717	SWEET	4
602	Lowa			ᴴŋi ᴴsegin			s senses	￼￼ॱङी्सगे ीि		???	
605	Lowa			ᴴŋiŋ ʟtsʝela			 sweet call	ॱङीङ्झ्येला		???	
606	Lowa	PITY	1141	ᴴŋiŋdzʲe			 kindness, pity, mercy, favour, charity	ॱङीङज्ये	1141	PITY	4
607	Lowa			ᴴŋiŋdu ᴴtsʲʰe			 going person	ॱङीङद्कु के		???	
610	Lowa	WRINKLE	2294	ᴴŋitsʲum‍ba			 wrinkle, contraction of skin	ॱङीच्यकुम्बा	2294	WRINKLE	4
611	Lowa			ᴴŋidzi ʟmegin			 hearted, insensitive, unfeeling	ॱङीजी्मगे ीि		???	
612	Lowa			ᴴŋiʈi			s nose while ploughing	ॱङीटी		???	
613	Lowa			ᴴŋip ᴴtsʲuk‍kin			 put traps	ॱङीप्च्यकुक्कीि		???	
614	Lowa			ᴴŋip‍re			 agricultural machine	ॱङीप्रे		???	
615	Lowa			ᴴŋire			 leading lama at a cremation	ॱङीरे		???	
618	Lowa			ᴴŋy‍tsama			 wrinkled person	ॱङी़्चामा		???	
620	Lowa			ᴴŋuwa ᴴtøŋgin			 of	ॱङकुिा्तछो़ङगीि		???	
621	Lowa			ᴴŋo ᴴkote			 type of green vegetable	ॱङो्कोते		???	
622	Lowa			ᴴŋo ʟgʲawubola			 edible greenery found on farms	ॱङो्ग्यािकुबोला		???	
623	Lowa			ᴴŋo ᴴŋip			 type of green vegetable	ॱङो्ॱङीप		???	
624	Lowa			ᴴŋo ᴴtsatilamu			 green vegetable	ॱङो्चातीलामकु		???	
625	Lowa			ᴴŋo ᴴtim‍dzʲu			 green vegetable	ॱङो्तीम्ज्यकु		???	
626	Lowa			ᴴŋo ᴴmit‍ti			 fenugreek	ॱङो्ॱमीत्ती		???	
627	Lowa			ᴴŋo ʟsʲoʈok			 green vegetable	ॱङो्श्योटोक		???	
628	Lowa			ᴴŋodzaŋ			 green malt	ॱङोजाङ		???	
631	Lowa			ᴴŋon‍negu			 mainly	ॱङोन्िगे कु		???	
632	Lowa			ᴴŋosoli			 greenery, vegetation	ॱङोसोली		???	
633	Lowa			ᴴŋøk ᴴkogin			 pick a fight, provoke	ॱङछो़क्कोगीि		???	
634	Lowa	WHITE	1335	ᴴtsak ᴴkau			 white	चाक्काउ	1335	WHITE	4
635	Lowa			ᴴtsakᴴtsak			 sound of chewing chewing gum	चाक्चाक		???	
636	Lowa			ᴴtsak ʟnak‍po			 black clay	चाक्िाक्पो		???	
638	Lowa			ᴴtsak‍tsa ᴴtsʲik			 just a while	चाक्चा्च्यीक		???	
639	Lowa			ᴴtsak‍tu			 pile up one above another	चाक्तकु		???	
642	Lowa	HIGH TIDE	613	ᴴtsaŋbu ʟgʲegin			 flood	चाङबकु्ग्येगीि	613	HIGH TIDE	4
644	Lowa			ᴴtsatsʲu			 medicine for nerve	चाच्यकु		???	
645	Lowa	LOOK FOR	1468	ᴴtsadzu			 search, investigation, enquiry, research, quest, pursuit	चाजकु	1468	LOOK FOR	4
646	Lowa			ᴴtsaɖip			 paralysis	चाडीप		???	
647	Lowa	EIGHTEEN	1713	ᴴtsap‍gʲek			 eighteen	चाप्ग्येक	1713	EIGHTEEN	4
649	Lowa	THREE TIMES	417	ᴴtsap‍te ᴴsum			 three times	चाप्त्े सकुम	417	THREE TIMES	4
650	Lowa			ᴴtsaraŋ			 name of a village	चाराङ		???	
651	Lowa			ᴴtsaratsuri			 small things	चाराचकुरी		???	
652	Lowa			ᴴtsiː			 counting, reckoning, calculation, account, arithmetic	चीः	1081	BILL	4
653	Lowa			ᴴtsiː ᴴkorkin			 funerary rite	चीः्कोरकीि		???	
654	Lowa	MASON	877	ᴴtsik‍dzowa			 mason, bricklayer	चीक्जोिा	877	MASON	4
655	Lowa			ᴴtsiŋ ᴴtsiŋ			s neck	चीङ्चीङ		???	
656	Lowa			ᴴtsidzok			 of or from government, official	चीजोक		???	
657	Lowa			ᴴtsidaŋ ᴴtsʲʰe			 respectful	चीदाङ्के		???	
658	Lowa			ᴴtsiduk			 plural of kid or lamb	चीदककु	820	LAMB	4
659	Lowa			ᴴtsiduŋ			 accountant	चीदङकु		???	
660	Lowa			ᴴtsiwa			 accountant	चीिा		???	
661	Lowa			ᴴtsyn‍gin			 control	चीन्गीि	1846	RULE	4
662	Lowa			ᴴtsyn‍ɖy ᴴtsʲʰe			 hard working	चीन्डी्के		???	
668	Lowa	HEMP	2041	ᴴtsura ʟhadza			 hemp, marijuana	चकुरा्हाजा	2041	HEMP	4
669	Lowa	SHUTTLE	543	ᴴtsek‍kak			 small rod in a loom, shuttle	￼￼￼चके ्काक	543	SHUTTLE	4
671	Lowa	SPADE	1176	ᴴtsep‍ʲa			 spade	चपे ्या	1176	SPADE	4
672	Lowa			ᴴtsemar			 hair style	चमे ार		???	
674	Lowa			ᴴtsem‍gin			 cause to sew	चमे ्गीि		???	
675	Lowa			ᴴtsok‍pu			 bunch of dried mustard plants	चोक्पकु		???	
676	Lowa	SELL	1571	ᴴtsoŋgin			 sell, dispose of	चोङगीि	1571	SELL	4
677	Lowa			ᴴtsø			 black antelope	चछो़		???	
678	Lowa	BUCKET	2052	ᴴtsʲak‍dzu			 bucket	च्याक्जकु	2052	BUCKET	4
679	Lowa			ᴴtsʲak‍ʈa			 iron bar	च्याक्टा		???	
681	Lowa			ᴴtsʲaʈʰi			 iron bed	च्याठी		???	
682	Lowa			ᴴtsʲik ᴴtsʲikla			 mutual, reciprocal, mutually	च्यीक्च्यीकला		???	
683	Lowa			ᴴtsʲik ᴴtsʲiga			 only one	च्यीक्च्यीगा		???	
684	Lowa			ᴴtsʲik ʟtsʝina			 nearly, about, approximately	च्यीक्झ्यीिा	1415	THINK (REFLECT)	4
687	Lowa			ᴴtsʲiŋdzak			 bed wetter	च्यीङजाक		???	
688	Lowa			ᴴtsʲiŋdzara			 urinating, incontinent	च्यीङजारा		???	
689	Lowa	PERHAPS	2278	ᴴtsʲiʟtsʝina			 perhaps, possibly	च्यीझ्यीिा	2278	PERHAPS	4
690	Lowa	SUGAR	862	ᴴtsʲini			 sugar	च्यीिी	862	SUGAR	4
691	Lowa			ᴴtsʲiwak			 type of wheat	च्यीिाक		???	
692	Lowa			ᴴtsʲydze			 nutritious food	च्यीजे		???	
693	Lowa	TEN	1515	ᴴtsʲu			 ten	￼￼￼￼च्यकु	1515	TEN	4
694	Lowa	ELEVEN	1706	ᴴts‍ʲuk‍ts‍ʲik			 eleven, eleventh	च्यकुक्च्यीक	1706	ELEVEN	4
695	Lowa	TWELVE	1707	ᴴtsʲuŋŋi			 twelve	च्यकुङङी	1707	TWELVE	4
696	Lowa			ᴴtsʲuŋʲok			man who is the youngest in the family	चयकुङयोक		???	
697	Lowa			ᴴtsʲudza			 type of leafy vegetable	च्यकुजा		???	
699	Lowa			ᴴtsʲuli			 type of fruit	च्यकुली		???	
700	Lowa			ᴴtsʲok‍ra			 like that, resembling	च्योक्रा		???	
701	Lowa			ᴴtsʲok‍re			 like that, resembling	￼￼￼￼च्योक्रे		???	
702	Lowa			ᴴtsʲoma			s given birth	च्योमा		???	
704	Lowa			ᴴtsʰa ʟtok‍tok			 rock salt	छा्धोक्तोक		???	
706	Lowa	SPOT	519	ᴴtsʰak			 spot	छाक	519	SPOT	4
707	Lowa			ᴴtsʰak‍dzi			 filter	छाक्जी		???	
710	Lowa			ᴴtsʰadzoŋ			 salt trade	छाजोङ		???	
712	Lowa			ᴴtsʰap‍la			 exchanging, substitute	छाप्ला		???	
713	Lowa			ᴴtsʰamkʰaŋ			 place for meditation	छामखाङ		???	
714	Lowa			ᴴtsʰartu ᴴtsʲuk‍kin			allowtogrow	छारतकु्च्यकुक्कीि		???	
715	Lowa			ᴴtsʰaraŋ			 salt depot, salt mine	छाराङ		???	
716	Lowa			ᴴtsʰarop			 poke with a needle	￼￼￼￼छारोप		???	
718	Lowa			ᴴtsʰik‍ri			 smell of roast wheat	छीक्री		???	
720	Lowa			ᴴtsʰiŋik ʟmegin			 meaningless	छीङीक्मगे ीि		???	
721	Lowa			ᴴtsʰidzik			s name	छीजीक		???	
722	Lowa			ᴴtsʰip‍‍ruk			 twin	छीप्रूक		???	
723	Lowa			ᴴtsʰiriŋ			s name	छीरीङ		???	
724	Lowa			ᴴtsʰiriŋ ᴴkiŋga			ibetan hat	छीरीङ्कीङगा		???	
725	Lowa			ᴴtsʰuk			 mustard plant or	छकुक		???	
726	Lowa			ᴴtsʰetala ᴴtaŋgin			 of	छेताला्ताङगीि		???	
727	Lowa	MIDNIGHT	2656	ᴴtsʰen ᴴpʰek			 midnight, dead of night	छेि्फे क	2656	MIDNIGHT	4
728	Lowa			ᴴtsʰebu			 lame animal	छेबकु		???	
731	Lowa	TAILOR	881	ᴴtsʰem‍dzuwa			 tailor	छेम्जकुिा	881	TAILOR	4
732	Lowa	THORN	124	ᴴtsʰemma			 thorn, barb, goose bumps, thorn, prickle, barb	छेममा	124	THORN	4
733	Lowa			ᴴtsʰer			 type of firewood	छेर		???	
734	Lowa	LAZY	1564	ᴴtsʰera ᴴtsʰa			 lazy	छेरा्छा	1564	LAZY	4
735	Lowa			ᴴtsʰera ʟtsʝigin			 being lazy	छेरा्झ्यीगीि		???	
736	Lowa			ᴴtsʰewa			 first twenty day of the month	छेिा		???	
737	Lowa			ᴴtsʰewa ᴴtsʲeŋi dak‍wa			 full moon	छेिा्च्येङी्दाक्िा		???	
738	Lowa			ᴴtsʰok‍kʰaŋ			 place for gathering	छोक्खाङ		???	
739	Lowa			ᴴtsʰok‍pa ᴴtsʰukʲe			 form a new organization	छोक्पा्छकुक्ये		???	
741	Lowa			ᴴtsʰoŋ ʟnak‍tsoŋ			 blackmail, illegal trade	छोङ्िाक्चोङ		???	
742	Lowa			ᴴtsʰoŋ ᴴhalok‍kin			 bear a great loss in	छोङ्ॱहालोक्कीि		???	
745	Lowa			ᴴtsʰoŋdzaŋ			 business celebration	छोङजाङ		???	
746	Lowa			ᴴtsʰoŋdak			 stone placed in a stream to help one cross	छोङदाक		???	
747	Lowa			ᴴtsʰop‍ti ʟgʲuk‍kin			 act weird with nervousness	छोप्ती्ग्यकुक्कीि		???	
748	Lowa			ᴴtsʰoma ᴴkuduk‍pa			 of	छोमा्ककुदककु ्पा		???	
749	Lowa			ᴴtsʰomaᴴpʰeduk‍pa			 thick soup made of wheat flour	छोमा्फेदककु प्ा		???	
750	Lowa			ᴴtsʰora			 business fair	छोरा		???	
751	Lowa			ᴴtsʰosʲa			ustang	छोस्या		???	
754	Lowa			ᴴtsʰø ʟlok‍la			 discoloured	￼￼￼￼छछो़्लोक्ला		???	
755	Lowa			ᴴtsʰøna			 colour type	छछो़िा		???	
756	Lowa			ᴴtsʰønak			 multicoloured, motley, diverse	छछो़िाक		???	
757	Lowa			ᴴtsʰønadzoba			 multicoloured	छछो़िाजोबा		???	
758	Lowa			ᴴtsʰøn‍rik			 colouring substance	￼￼￼￼छछो़न्रीक		???	
759	Lowa			ᴴtsʰøru ᴴtsʲuk‍kin			 let ripen	छछो़रू्च्यकुक्कीि		???	
760	Lowa			dzak			 string on the top of the slingshot	जाक		???	
761	Lowa			dzapan			apan	जापाि		???	
764	Lowa			dzira			 cumin seed	जीरा		???	
