ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS
582	Yolmo			pràŋ			molasses, or any  sweet sticky substance from  trees; honey
583	Yolmo	CHEST	1592	pràŋbu			chest
584	Yolmo			pràŋdʒa			a hug
585	Yolmo	FLY (MOVE THROUGH AIR)	1441	pràŋmaŋ			fly
586	Yolmo	WRITE	1672	prù			to write
587	Yolmo	SNAKE	730	prùl			snake
588	Yolmo	PIG	1337	phá			pig
589	Yolmo			pháŋ			to hold in one's arms
590	Yolmo			pháŋba			crossed arms or lap
591	Yolmo			pháp			yeast for brewing
592	Yolmo			prèka			a stick
593	Yolmo			préken			a larger monkey, with a white face
594	Yolmo	TASTE (SOMETHING)	21	prèe tà			to taste
595	Yolmo			prò			to fall out
596	Yolmo			phártshúr			this way  and that way
597	Yolmo	PUMPKIN	864	phársi			pumpkin
598	Yolmo	WOLF	522	phára			wolf
599	Yolmo			phálgi			beaten rice
600	Yolmo	FRUIT	1507	phálphul			fruit
601	Yolmo			pháp			to come  down ; fall
602	Yolmo	BAT	1793	phábaŋ			bat
603	Yolmo	BUTTERFLY	1791	phár			butterfly
604	Yolmo			phíma			the outer basket  in a double layered basket
605	Yolmo	JUMP	1829	phír			to jump
606	Yolmo			phíla			outside ; there
607	Yolmo	BLOW (WITH MOUTH)	176	phú			to blow
608	Yolmo			phúmba			a large clay jug
609	Yolmo	COME	1446	phép			to come,  honorific
610	Yolmo	BELLY	1251	phò			belly
611	Yolmo			phóo			to feel; to be  hit by an object
612	Yolmo	HALF	816	phé			half
613	Yolmo	SOAP	788	phóoʃop			soap
614	Yolmo			phyá			to wipe something
615	Yolmo	BROOM	245	phyáma			broom
616	Yolmo			phró			to snatch
617	Yolmo			bàamen			Brahmin
618	Yolmo	WEDDING	1259	bìha			wedding
619	Yolmo	WALL (OF HOUSE)	933	bìta			wall
620	Yolmo			bù			insect; worm
621	Yolmo	CATERPILLAR	2247	bù sìkpa			caterpillar
622	Yolmo			bùdi			a seed or bean
623	Yolmo			bùbro			coals
624	Yolmo	AUBERGINE	1146	bènda			eggplant
625	Yolmo	GARDEN	586	bàri			garden
626	Yolmo			bàrbari mèndo			mint
627	Yolmo			bàr tòŋbo			a banyan tree
628	Yolmo			bèlala			at the time, not commonly used
629	Yolmo	VERY	1311	bèsari			very
630	Yolmo	DULL	1397	bòkto			dull, of knives, and tools
631	Yolmo			bòɖa			kidney beans
632	Yolmo	RICE	926	brèe			uncooked rice
633	Yolmo			mànɖi			a blanket
634	Yolmo	LOVE	923	màya			love
635	Yolmo	MAIZE	506	màgi			corn
636	Yolmo			màŋbu			many or much; very
637	Yolmo			máŋra			facial hair
638	Yolmo	CENTER	491	máʒa			centre, used  for town name
639	Yolmo			mádi			comparison
640	Yolmo			n			two  hundred
641	Yolmo	IF	1459	máni			if
642	Yolmo			màni			ritual prayer
643	Yolmo			màr			butter; ghee
644	Yolmo	DOWN	1326	màr			down
645	Yolmo	NUT	191	mártsi			chilli
646	Yolmo	RED	156	màrmu			red
647	Yolmo	CARROT	3085	màrmu làbu			carrot
648	Yolmo	PERSON	683	mì			person
649	Yolmo	EYEBROW	1173	mítsa			eyebrow
650	Yolmo	NAME	1405	mìn			name
651	Yolmo	TICK	1527	míli ʃíi			tick
652	Yolmo			míliŋ tséma			bamboo shoots
653	Yolmo			mílim			smaller bamboo, often used in basket weaving
654	Yolmo			mílam			a dream
655	Yolmo	EYE	1248	míi			eye
656	Yolmo			míikʃél			reading glasses
657	Yolmo			míima			a smaller bamboo treated and split into  thinner strips for basket  weaving
658	Yolmo			múkpa			cloud ; fog
659	Yolmo	FOREHEAD	123	múrtsa			forehead
660	Yolmo	RUB	1449	múr			to rub
661	Yolmo	CHEW	321	mùr			chew
662	Yolmo	SPRINGTIME	1537	mùl			spring
663	Yolmo	FIRE	221	mè			fire
664	Yolmo			mè			the negative form of yè, the existential copula
665	Yolmo			mèke			the negative form of yèke, the past tense  form of the existential copula
666	Yolmo			mèʈo			the negative  form of yèʈo, the uncertain  existential copula
667	Yolmo	MEDICINE	1372	mén			medicine
668	Yolmo	BOWL	1530	mèndʒa			bowl
669	Yolmo			mènda			numeral classifier, used only for people
670	Yolmo	FLOWER	239	mèndo			flower
671	Yolmo			ména			cumin
672	Yolmo			mèeme			a group of females; group; family;  people
673	Yolmo			mài			a female  buffalo
674	Yolmo	BUFFALO	934	mài rágo			buffalo
675	Yolmo	BAD	1292	màiba			bad
676	Yolmo			mòomo			a small  dumpling
677	Yolmo	FEMALE	1551	mò			third person  singular, female
678	Yolmo	SHY	487	ŋòtʃha			shy
679	Yolmo	SOCK	1522	mòdza			sock
680	Yolmo			yíp			to hide something and trick someone
681	Yolmo	GRANDMOTHER	1496	yíbi			grandmother
682	Yolmo	TURN	1588	yìr			to turn
683	Yolmo	COURTYARD	4	yíldo			courtyard
684	Yolmo			yùŋga			saffron; turmeric
685	Yolmo	SHAKE	1909	yúŋ			to shake
686	Yolmo			yù			to stroll
687	Yolmo			yùr			to turn soil
688	Yolmo	VILLAGE	930	yùl			village
689	Yolmo	YAK	2477	yák			yak
690	Yolmo			yáŋdi			something that is light of weight
691	Yolmo			yàmbi			moment
692	Yolmo			yàrla			above something
693	Yolmo			yálo tséema			a leafy green vegetable
694	Yolmo	GOOD	1035	yàabu			good
695	Yolmo	LETTER	1612	yìgi			letter
696	Yolmo	ALL	98	yìndze mìndze			everything
697	Yolmo			yìndzo			from there
698	Yolmo	GO	695	yùu			to go, walking
699	Yolmo			yè			the existential  copula
700	Yolmo			yèke			the past tense  form of the existential copula
701	Yolmo			yèʈo			the existential  copula for uncertainty
702	Yolmo			yèndʒap phúl			 seven small metal bowls filled with water placed on an alter  as an offering to the gods
703	Yolmo	GOAT	1502	rà			goat
704	Yolmo	FIGHT	1423	rà			fight
705	Yolmo	AND	1577	ráŋ			and
706	Yolmo			ràŋ			self; own
707	Yolmo			ràŋsa			other; different
708	Yolmo	LOOM	1787	ràʈa			loom
709	Yolmo			ràpalaŋ			mulberry
710	Yolmo	NOODLE	973	rára			noodles
711	Yolmo	LIKE	1117	ràra			like
712	Yolmo			rál			to tear something
713	Yolmo			ràlràlba			moment
714	Yolmo			yée			an exclamation of  mild surprise
715	Yolmo	COOK (SOMETHING)	1100	yò			to cook
716	Yolmo			yóndo			a stick with a cloth covered head used to  push grain into the thresher
717	Yolmo	RIGHT	1019	yóba			right
718	Yolmo	LEFT	244	yóma			left
719	Yolmo	FOREST	420	rì			forest
720	Yolmo	YAM	410	rì hée			yam
721	Yolmo	LONG	1203	rìŋbu			long
722	Yolmo	ANIMAL	619	rìda			animal
723	Yolmo			rìmbur tʃhé			a reincarnate lama
724	Yolmo			ríl			to cause to fall
725	Yolmo			rìl			to fall over or lay down, usually inanimate objects
726	Yolmo	GATHER	7	rùp			to gather
727	Yolmo			rùl			to rot
728	Yolmo	ROTTEN	1728	rùlrulba			rotten
729	Yolmo			rùsusus			driftingly, Tf
730	Yolmo	MOUNTAIN	639	là			mountain
731	Yolmo	HAND	1277	làkpa			hand
732	Yolmo	PALM TREE	1181	náŋ			palm
733	Yolmo			réndza			soybeans
734	Yolmo			rèeree			one each
735	Yolmo			láŋ			to pick  something up
736	Yolmo			làŋ			to stand; to  rise
737	Yolmo	LEAF	628	làpti			leaf
738	Yolmo			làp			to say  something
739	Yolmo			làpna			conditional  marker
740	Yolmo	CHEESE	1569	làba			cheese
741	Yolmo	RADISH	2365	làbu			radish
742	Yolmo	ROAD	667	làm			road
743	Yolmo			láma			Lama, a Buddhist priest
744	Yolmo			lála			someone or something
745	Yolmo	CUCUMBER	496	lásii			cucumber
746	Yolmo	ARRIVE	1387	lép			to arrive
747	Yolmo	FLAT	1633	lépʈa			flat
748	Yolmo	BRAIN	1583	lépa			brain
749	Yolmo			lée			convincing
750	Yolmo			ló			reported speech particle, used to mark what has been said
751	Yolmo	YEAR	1226	lò			year
752	Yolmo	COME BACK	581	lò			to return
753	Yolmo			lòŋ			to break even, come out even
754	Yolmo	COUGH	879	lópkyal			cough
755	Yolmo	LEARN	504	lóp			to learn
756	Yolmo	SHEEP	1331	lù			sheep
757	Yolmo			lúŋdar			prayer flags
758	Yolmo	SPINE	805	lùŋso			spine
759	Yolmo			lú			to put into
760	Yolmo			lùndi			jackal
761	Yolmo	WORK (LABOUR)	984	lè			work
762	Yolmo			lékam			sandals
763	Yolmo	TAKE	1749	lèn			to take
764	Yolmo			lóma			a winnowing tray
765	Yolmo	LEAF	628	lòma			leaf
766	Yolmo	GOD	1944	lhá			god
767	Yolmo	WIND	960	lhába			wind
768	Yolmo			lháma			stale
769	Yolmo			lhámu			goddess
770	Yolmo	SOUTH	1595	lhó			south
771	Yolmo			sá			ground ; floor; earth
772	Yolmo	EAT	1336	sà			to eat
773	Yolmo	SUNDAY	1699	sà ɲáma			Sunday
774	Yolmo			sàŋ dìk			a large copper cooking pot
775	Yolmo			sàŋgi bàgari			a large brass pot used for  storing water and food items  such as rice
776	Yolmo			ságar			whitewash
777	Yolmo	NEXT YEAR	515	sáŋbi			next year
778	Yolmo	SATURDAY	1700	sà pémba			Saturday
779	Yolmo	TUESDAY	1695	sà mìŋmar			Tuesday
780	Yolmo	WEDNESDAY	1694	sà lhákpa			Wednesday
781	Yolmo	CLEAN	704	sáŋma			clean
782	Yolmo	KEY	1472	sádzo			key
783	Yolmo	WEEK	1469	sáta			week
784	Yolmo			sàndan			human offspring
785	Yolmo	NEW	1231	sámba			new
786	Yolmo	BRIDGE	1011	sàmba			bridge
787	Yolmo			sàru			a type of bird
788	Yolmo			sàl			to converse
789	Yolmo	CLEAN (SOMETHING)	2235	sál			to clean
790	Yolmo	FOOD	256	sàse			food
791	Yolmo	BURN	2102	sáa			to burn
792	Yolmo			sì			a necklace made of coral worn by men
793	Yolmo			sìnda			hectic
794	Yolmo			sìn			to complete ; finish
795	Yolmo			síniŋ			two years ago
796	Yolmo	SLEEP	1585	sìm			to sleep, honorific form
797	Yolmo			síiɖi			red clay used to  make floors and coat walls
798	Yolmo			sù			a sore
799	Yolmo	AMULET	2804	súŋa			amulet
800	Yolmo	THREE	492	súm			three
801	Yolmo	THIRD	1859	súmba			third
802	Yolmo			súr			to put into something close fitting
803	Yolmo	NEAR	1942	sùrla			near
804	Yolmo	EMBERS	67	sùla			embers
805	Yolmo			sùli			a stack of corn, elevated and left to dry
806	Yolmo	KILL	1417	sé			to kill
807	Yolmo			sè			a thing
808	Yolmo	KILL	1417	séter			to kill
809	Yolmo	SEED	714	sén			seed
810	Yolmo			sébi			two years ahead
811	Yolmo	NAIL (TOOL)	502	sému			nail
812	Yolmo	GOLD	1369	sér			gold
813	Yolmo			sérki			golden
814	Yolmo	RING	1374	sértop			ring
815	Yolmo	HAIL	609	séra			hail
816	Yolmo			sèe			prepare to receive
817	Yolmo	MIX	2017	sée			mix
818	Yolmo	ANIMAL	619	sémdzen			animal
819	Yolmo			ʃáŋ			to churn  buttermilk
820	Yolmo	MEAT	634	ʃá			meat
821	Yolmo	PIG FAT	2557	ʃà			grease
822	Yolmo	GREASY	955	ʃàk			greasy
823	Yolmo	FOOT	1301	ʃápʈa			foot, honorific
824	Yolmo			ʃáma			afterbirth
825	Yolmo			só			to raise
826	Yolmo			sòtor			fern
827	Yolmo			sòmba			traditional long boots made of cloth and  leather, still worn for special  occasions
828	Yolmo	BE ALIVE	1422	sómbo			alive
829	Yolmo	NIT	267	sóma			louse egg
830	Yolmo			sòra			a sickle
831	Yolmo	SHINE	708	ʃár			to shine, as the  sun
832	Yolmo	YOUNG	1207	ʃára			young
833	Yolmo	GO OUT	1107	ʃál			to exit
834	Yolmo	FRUIT	1507	ʃíŋɖo			fruit
835	Yolmo	DIE	1494	ʃí			to die
836	Yolmo	SIT	1416	ʃù			to sit, honorific
837	Yolmo			ʃùkpa			incense
838	Yolmo	ENTER	749	ʃùu			to enter
839	Yolmo	EAT	1336	ʃè			to eat, honorific
840	Yolmo			ʃé kyàŋ			to stretch one's limbs
841	Yolmo	EAST	1877	ʃér			east
842	Yolmo	KNOW (SOMETHING)	1410	ʃée			to know
843	Yolmo			ʃò			curd
844	Yolmo			ʃò			to brush
845	Yolmo			ʃó			the imperative  of 'come'
846	Yolmo			ʃókpa			feather; wing
847	Yolmo			ʃór			to get out
848	Yolmo			ʃáa			to split by cutting or sawing
849	Yolmo	SKIRT	1600	ʃàama			skirt
850	Yolmo	FOUR	1500	ʃì			four
851	Yolmo			ʃí khú			smaller white lice
852	Yolmo	HUNT	1435	ʃíkar tsá			to hunt
853	Yolmo	FARM	201	ʃìŋ			farm
854	Yolmo	ANGER	82	ʃìtaŋ			anger
855	Yolmo			ʃìba			fourth
856	Yolmo	BEAN	832	ʃími			beans
857	Yolmo	TASTY	1813	ʃìmbu			tasty
858	Yolmo	LOUSE	1392	ʃí			louse
859	Yolmo	DEAD	1625	ʃíba			dead
860	Yolmo			ʃíka			a rupee
861	Yolmo			ʃígu			a newspaper or magazine; paper
862	Yolmo	WOOD	1803	ʃíŋ			wood
863	Yolmo	CHESTNUT TREE	1009	ʃíŋgar			chestnut tree
864	Yolmo	DUCK	1360	ʃóo			duck
865	Yolmo			yìmba			copula verb
866	Yolmo			húŋgar			horse radish
867	Yolmo	POTATO	593	hée			potato
868	Yolmo			òm			to convince, to  woo
869	Yolmo			òma			milk; breast
870	Yolmo			òrta			a fence
871	Yolmo			òraŋ			first person  plural inclusive
872	Yolmo			hòbrakpa			red  panda
873	Yolmo			ònɖa			that way
