ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	script
381	Lowa			ʟgjaŋbuk			 alcove	￼￼￼￼ग्याङबकुक
382	Lowa	SEA	1474	ʟgjatsho			 sea, ocean	ग्याछो
383	Lowa	TOWN	1391	ʟgjadza			 city, town	ग्याजा
384	Lowa	EIGHTY	1722	ʟgjadzu			 eighty	ग्याजकु
385	Lowa	NINE	1483	ʟgjadzu ʟgjak‍ku			nine	ग्याजकु्ग्याक्ककु
386	Lowa	ONE	1493	ʟgjadzu ʟgjak‍tsi			one	ग्याजकु्ग्याक्ची
387	Lowa	THREE	492	ʟgjadzu ʟgjak‍sum			three	ग्याजकु्ग्याक्सकुम
388	Lowa	EIGHT	1705	ʟgjadzu ʟgjap‍gjet			eight	ग्याजकु्ग्याप्ग्येत
389	Lowa	SEVEN	1704	ʟgjadzu ʟgjap‍ʟtyn			seven	ग्याजकु्ग्याप्धीि
390	Lowa	FIVE	493	ʟgjadzu ʟgjeŋa			five	ग्याजकु्ग्येङा
391	Lowa	SIX	1703	ʟgjadzu ʟgjeʟʈuk			six	ग्याजकु्ग्येढकुक
392	Lowa	FOUR	1500	ʟgjadzu ʟgjewi			four	ग्याजकु्ग्येिी
393	Lowa			ʟgjadzuŋ			 crown prince, heir to the throne	ग्याजकुङ
394	Lowa			ʟgjaʟʈum			 soft woollen carpet	ग्याढकुम
395	Lowa			ʟgjat‍tu			 hundreds	ग्यात्तकु
396	Lowa	BEHIND	1686	ʟgjap			 behind, at the	ग्याप
397	Lowa			ʟgjap‍tsa			 back force	ग्याप्चा
398	Lowa			ʟgjap‍jok			s cover	ग्याप्योक
399	Lowa	BUCKWHEAT	2040	ʟgjap‍re			 buckwheat	ग्याप्रे
400	Lowa	BEHIND	1686	ʟgjap‍la			 behind, at the back of, back	ग्याप्ला
401	Lowa	OPPOSITE	885	ʟgjap‍lok			 contrary, opposite	ग्याप्लोक
402	Lowa			ʟgjami Hŋo Hpadze			 green leafy vegetable	ग्यामी्ॱङो्पाजे
403	Lowa			ʟgjalam			 big road	ग्यालाम
404	Lowa			ʟgjaliŋ			ama	ग्यालीङ
405	Lowa			ʟgjalin			 type of soyabean	ग्यालीि
406	Lowa	KING	1508	ʟgjawu			 king, monarch, sovereign	￼￼￼ग्यािकु
407	Lowa			ʟgjik			 rubber	ग्यीक
408	Lowa			ʟgjikuŋ			of the	ग्यीककुङ
409	Lowa	BUCKET	2052	ʟgjik‍dzu			 bucket	ग्यीकज् कु
410	Lowa			ʟgjik‍ten			 foam mattress	ग्यीकत् िे
411	Lowa			ʟgjik‍ma			typeofgrassseed	ग्यीकम् ा
412	Lowa			ʟgjyn			 leather rope	ग्यीि
413	Lowa			ʟgjyn ʟʈagin			 make rope out of skin	ग्यीि्ढागीि
414	Lowa			ʟgjuk‍toŋ			 strong horizontal main beam at the highest point of a roof	ग्यकुक्तोङ
415	Lowa	STICK	1295	ʟgjuk‍pa			 stick, staff	ग्यकुक्पा
416	Lowa	CHANGE	1264	ʟgjurkin			 change	ग्यकुरकीि
417	Lowa			ʟgjepa			eighth	ग्येपा
418	Lowa	FAST	1631	ʟgjok‍pu			 quick, sharp, prompt, soon, quickly, drop, drop of water sprinkled for purifying	ग्योक्पकु
419	Lowa	LONG	1203	ʟgjoŋ ʟgjoŋ			 long	ग्योङ्ग्योङ
420	Lowa			ʟkak			 belching, burping	घाक
421	Lowa			ʟka			 saddlebags	￼￼￼घा
422	Lowa			ʟkaːra			 name of a village	घाःरा
423	Lowa			ʟkak‍ta			 drinking water from a jug	घाक्ता
424	Lowa			ʟkagin			behappy	घागीि
425	Lowa			ʟkaʟkoŋi			 unleveled	घाघोङी
426	Lowa	HOW MUCH	531	ʟkadzø			 how much, how many	घाजछो़
427	Lowa			ʟkada			 sack with two pockets	घादा
428	Lowa	BALD	1125	ʟkaʟtera			bald	घाधरेा
429	Lowa	WHERE	1237	ʟkanaŋ			 where	घािाङ
430	Lowa			ʟkane			 from where	घािे
431	Lowa			ʟkam			 crop storing wooden box	घाम
432	Lowa			ʟkaru ʟhin‍na			 wherever	घारू्हीन्िा
433	Lowa			ʟkawu			 lover	hall, ballroom, theatre घािकु
434	Lowa	BECAUSE	1157	ʟki ʟtsʝeri Hnana			 because	घी्झ्येरी्ॱिािा
435	Lowa	WHERE	1237	ʟki Hsjok‍la			 where	घी्स्योक्ला
436	Lowa			ʟkidu			 property	घीदकु
437	Lowa			ʟkimik			 name of a village	घीमीक
438	Lowa			ʟkiluŋ			 name of a village	घीलकुङ
439	Lowa	WINTER	1471	ʟkyŋga			 winter	घीङगा
440	Lowa	EXPENSIVE	1426	ʟkyn‍da			priced, expensive, costly, dear, scarce	घीन्दा
441	Lowa			ʟkysjap			 respect, homage	घीस्याप
442	Lowa	NINE	1483	ʟku			 nine, boat, ship	घकु
443	Lowa	SIGN	1720	ʟkugek			 sign	घकुगके
444	Lowa			ʟkuŋi			 three years before	घकुङी
445	Lowa			ʟkutsju Hthøn‍gin			 stooped	घकुच्यकु्थछो़न्गीि
446	Lowa	BEND	2004	ʟkut‍tu Htsjuk‍kin			 bend	￼￼￼घकुत्तकु्च्यकुक्कीि
447	Lowa			ʟkuduk			th day of month	घकुदककु
448	Lowa			ʟkuduk ʟkuduk			s hooves	घकुदककु ्घकुदककु
449	Lowa			ʟkuduruk ʟkuduruk			 sound of chewing roasted peas	घकुदरूकु क्घकुदरूकु क
450	Lowa	FOUR	1500	ʟkup‍tsju ʟkøwi			four	घकुप्च्यकु्घछो़िी
451	Lowa			ʟkup‍ruk			 part of pea crop leftover	घकुप्रूक
452	Lowa			ʟkuja			 plant grown on hillside	घकुया
453	Lowa			ʟkurthuk‍kin			 be able to tolerate	घकुरथकुक्कीि
454	Lowa			ʟkuri			 card game	घकुरी
455	Lowa			ʟkururu ʟkururu			 sound of flying birds	घकुरूरू्घकुरूरू
456	Lowa			ʟkuwa			 nine times	घकुिा
457	Lowa	SPLIT OPEN	3080	ʟkegin			 crack	घेगीि
458	Lowa	TEACHER	1038	ʟkegen			 teacher, instructor, tutor, educator, master, pedagogue	घेगिे
459	Lowa	WASTE	79	ʟkeŋik			 waste, rubbish	घेङीक
460	Lowa			ʟken‍dzu Hkhaŋ			 home or centre for the elderly	घेन्जकु्खाङ
461	Lowa			ʟker			 personal, individual	घेर
462	Lowa			ʟkewa Htsjhe			 religious, pious man	￼￼￼￼घेिा्के
463	Lowa			ʟkesem Htsjhe			 religious, pious, devout	घेसमे ्के
464	Lowa	GATE	2940	ʟko Htsjhigo			 gate, main entrance	घो्कीगो
465	Lowa	KNOCK	2396	ʟko ʟtuŋgin			 knock	घो्धकुङगीि
466	Lowa			ʟko ʟpak‍ku			 main gate	घो्भाक्ककु
467	Lowa	ROUND	1395	ʟkok‍ko			 round, circular, spherical	घोक्को
468	Lowa	ASH	646	ʟkok‍ta			 ashes	घोक्ता
469	Lowa			ʟkok‍pu			 wooden bowl	घोक्पकु
470	Lowa	LION	1386	ʟkoŋ			 lion	घोङ
471	Lowa			ʟkoŋgin			 be furious	घोङगीि
472	Lowa	FORGIVE	1528	ʟkoŋba Hterkin			 forgive	घोङबा्तरे कीि
473	Lowa			ʟkoŋruk			 eggshell	घोङरूक
474	Lowa	EGG	744	ʟkoŋa			 egg	घोङा
475	Lowa	TRUE	1657	ʟkodzak			 true, real, genuine, mould, matrix, cast, key, pattern, shape	घोजाक
476	Lowa	STRANGE	600	ʟkoʟʈomo			 strange, surprising, astonishing	घोढोमो
477	Lowa			ʟkodin			 lower part of the door	घोदीि
478	Lowa			ʟkop‍tsok			door message	घोप्चोक
479	Lowa	WALK	1443	ʟkoba ʟgjap‍kin			walk	घोबा्ग्याप्कीि
480	Lowa			ʟkom‍ba			uddhist monastery	घोम्बा
481	Lowa			ʟkoju			 curtain used to cover a doorway	घोयकु
482	Lowa	ROUND	1395	ʟkora			 round, circular, spherical	घोरा
483	Lowa	ROUND	1395	ʟkori			 round, circular, spherical	घोरी
484	Lowa			ʟkore			 watchman	घोरे
485	Lowa			ʟkoror ʟkoror			 snoring sound	घोरोर्घोरोर
486	Lowa			ʟkoloŋ ʟkoloŋ			 sound made by abell	घोलोङ्घोलोङ
487	Lowa	LAME	320	ʟkol‍la			 lame, dumb	घोल्ला
488	Lowa			ʟkol‍la Htsjhak‍kin			 be confused, be puzzled, be detained	घोल्ला्काक्कीि
489	Lowa	STUPID	1518	ʟkol‍luwa			 stupid, dumb	घोल्लकुिा
490	Lowa	UNDERSTAND	1536	ʟkowa Hthep‍kin			 understand	घोिा्थपे ्कीि
491	Lowa	BREAK (DESTROY OR GET DESTROYED)	680	ʟkowak			 break, shatter, break into pieces, split, fold, bend	घोिाक
492	Lowa			ʟkø			like clothing	घछो़
493	Lowa			ʟkøk‍ma			 female horse	घछो़क्मा
494	Lowa			ʟkøkji			 place beside an oven to put ashes	घछो़कयी
495	Lowa	BRIGHT	679	ʟkøk‍sa			smiling,bright, funny, amusing	￼￼￼घछो़क्सा
496	Lowa			ʟkøŋjik			 type of spice found in the field	￼￼￼￼घछो़ङयीक
497	Lowa	SILK	1641	ʟkødzin			 silk	घछो़जीि
498	Lowa	FISH	227	ʟnʝa			 fish	￼￼￼￼￼￼￼ङया
499	Lowa			ʟnʝaʟnʝokji			 curly, messy	ङया्ङयोक्यी
500	Lowa	FISHING	2638	ʟnʝa ʟsiŋgin			 fishing	ङया्शीङगीि
501	Lowa	FLAT	1633	ʟnʝak ʟnʝak			 flat, flattened	ङयाक्ङयाक
502	Lowa	BEDROOM	2505	ʟnʝagaŋ			 bedroom	ङयागाङ
503	Lowa	MUD	640	ʟnʝaʟnʝokji			 mud, slime, muddy, clayey, boggy	￼￼￼ङयाङयोक्यी
504	Lowa	BED	1663	ʟnʝadza			 bed, bedstead	ङयाजा
505	Lowa			ʟnʝadzi ʟnaŋdu Htsjhygin			 seriously	ङयाजी्िाङद्कु कीगीि
506	Lowa			ʟnʝamu			 having child before marriage	ङयामकु
507	Lowa			ʟnʝam‍ʟnʝuŋ			 experience	ङयाम्ङयकुङ
508	Lowa	EXPERIENCED	2218	ʟnʝam‍ʟnʝuŋ ʟtsʝetsa			 experienced, perceptive	ङयाम्ङयकुङ्झ्येचा
509	Lowa			ʟnʝam‍ɖok			 name of a village	ङयाम्डोक
510	Lowa	WORRY	150	ʟnʝaji			 worry, sorrow, woe, mental agony, grief, distress	ङयायी
511	Lowa			ʟnʝaluk			 having an illegitimate son	ङयालकुक
512	Lowa			ʟnʝuŋgin			 lack	ङयकुङगीि
513	Lowa	SMALL	1246	ʟnʝuŋdze			 little	ङयकुङजे
514	Lowa			ʟnʝuŋdze Htsjik			 little in quantity	ङयकुङज्े च्यीक
515	Lowa	ATTENTIVE	1908	ʟnʝen‍ŋi døgin			 eager to listen, attentive	ङयेनङ् ी्दछो़गीि
516	Lowa			ʟnʝen‍daŋ			 hearing, listening	ङयेनद् ाङ
517	Lowa	FAT (ORGANIC SUBSTANCE)	323	ʟnʝera			 fat, plump, corpulent, obese, stout, fleshy, thick	￼￼￼￼ङयेरा
518	Lowa	FINE (PENALTY)	218	ʟnʝewa			fine,penalty	ङयेिा
519	Lowa			ʟnʝok ʟnʝok			 fragile	ङयोक्ङयोक
520	Lowa			ʟnʝok‍kin			 make a mess	ङयोक्कीि
521	Lowa			ʟnʝokji			 in a disgusting way	ङयोक्यी
522	Lowa	BUY	1869	ʟnʝogin			 buy, purchase	ङयोगीि
523	Lowa			ʟnʝo‍gu Htsoŋgin			 irritate by continuous talk on unimportant things	ङयो्गकु्चोङगीि
524	Lowa			ʟnʝop‍kin			 get bored	ङयोप्कीि
525	Lowa	IDLE	2756	ʟnʝop‍to			 idle, indolent, sloth	ङयोप्तो
526	Lowa	IDLE	2756	ʟnʝoba			 idle, indolent, sloth	ङयोबा
527	Lowa			ʟnʝobi			 lazy face, sickening face	ङयोबी
528	Lowa	ME	2301	ʟŋa			, me	￼￼￼ङा
529	Lowa			ʟŋak‍la Htsuk‍kin			 read or say over and over again, to cause to learn by rote	ङाक्ला्चकुक्कीि
530	Lowa	REST	168	ʟŋadzu			 rest, respite, relaxation, stop	ङाजकु
531	Lowa			ʟŋadak			 resting place	ङादाक
532	Lowa	SELF	1993	ʟŋaraŋ			 self, oneself	ङाराङ
533	Lowa			ʟŋaraŋ ʟraŋ			 myself	ङाराङ्राङ
534	Lowa			ʟŋari			 mine, individual, private	ङारी
535	Lowa			ʟŋiŋgaŋ			 all day long	ङीङगाङ
536	Lowa	DAY (NOT NIGHT)	1225	ʟŋiŋdze			 daytime	ङीङजे
537	Lowa	DAY (NOT NIGHT)	1225	ʟŋiŋmu			 daytime	ङीङमकु
538	Lowa	UMBRELLA	3105	ʟŋitu			 umbrella	ङीतकु
539	Lowa	SUNNY	2340	ʟŋin ʟte			 sunny	ङीि्धे
540	Lowa			ʟŋibak			 double	￼￼￼ङीबाक
541	Lowa	SUNSET	2295	ʟŋima Hphep‍kin			 sunset	ङीमा्फे प्कीि
542	Lowa			ʟŋimi ʟhøk			 sun light	ङीमी्हछो़क
543	Lowa			ʟŋim‍du			 tradition of determining time of day by the sun	ङीम्दकु
544	Lowa			ʟŋiri			 discrimination, inequality, difference of opinion, sense	ङीरी
545	Lowa			ʟŋilok			 solar light	ङीलोक
546	Lowa	TWENTY	1710	ʟŋiwu			 twenty	ङीिकु
547	Lowa	TWENTY	1710	ʟŋisju			 twenty	ङीस्यकु
548	Lowa	NINE	1483	ʟŋisju Htsak‍ku			nine	ङीस्यकु्चाक्ककु
549	Lowa	ONE	1493	ʟŋisju Htsak‍tsjik			one	ङीस्यकु्चाक्च्यीक
550	Lowa	THREE	492	ʟŋisju Htsak‍sum			three	ङीस्यकु्चाक्सकुम
551	Lowa	SEVEN	1704	ʟŋisju Htsap‍dyn			seven	ङीस्यकु्चाप्दीि
552	Lowa	FOUR	1500	ʟŋisju Htsap‍ʟsji			four	ङीस्यकु्चाप्श्यी
553	Lowa	SIX	1703	ʟŋisju Htseʟʈuk			six	ङीस्यकु्चढे कुक
554	Lowa	EIGHT	1705	ʟŋisju Htsjap‍gjek			eight	ङीस्यकु्च्याप्ग्येक
555	Lowa	FIVE	493	ʟŋisju Htsjeŋa			five	ङीस्यकु्च्येङा
556	Lowa	SIX	1703	ʟŋeɖuk			six	￼￼￼ङेडकुक
557	Lowa			ʟŋo			 known	ङो
558	Lowa	KNOW (SOMETHING)	1410	ʟŋo Hʈhøgin			 know, recognize, understand	ङो्ठछो़गीि
559	Lowa			ʟŋo ʟmegin			 ungrateful, ingrate, traitor	ङो्मगे ीि
560	Lowa	REFUSE	49	ʟŋo Hlok‍kin			 refuse, disagree	ङो्ॱलोक्कीि
561	Lowa	KNOW (SOMETHING)	1410	ʟŋo Hsjegin			 know, recognize, understand	ङो्स्येगीि
562	Lowa			ʟŋotsharu Htsjuk‍kin			 mock	ङोछारू्च्यकुक्कीि
563	Lowa			ʟŋodok			 real	ङोदोक
564	Lowa			ʟŋom‍gin			be satisfied	ङोम्गीि
565	Lowa			ʟŋom‍sa Htsjhe			 desirable	ङोम्सा्के
566	Lowa	DIFFICULT	584	Hnja Htsjhe			 difficult, laborious, burdensome, hard	ॱङया्के
567	Lowa			Hnjau			 one who goes to fetch bride	ॱङयाउ
568	Lowa			Hnjak			 proper, suitable, appropriate	ॱङयाक
569	Lowa	STRAIGHT	1404	Hnjam Htsjuŋa			 straight, direct, straightforward, frank, honest	ॱङयाम्च्यकुङा
570	Lowa	HELL	878	Hnjawi Htiŋ			 hell, inferno, place where one has to suffer	ॱङयािी्तीङ
571	Lowa			Hnjuk‍ʈi			 small knife	ॱङयकुक्टी
572	Lowa	PENCIL	2578	Hnjuŋ ʟsjaŋjuk			 pencil, lead pencil	ॱङयकुङ्श्याङयकुक
573	Lowa			Hnjedza			 place for leaning	￼￼￼ॱङयेजा
574	Lowa			Hnjen‍du			 polite	ॱङयेन्दकु
575	Lowa	QUIET	1314	Hnjen‍doŋi			 quiet, calm, serene, peaceful, placid, pacific, tranquil, still, motionless, immobile	ॱङयेन्दोङी
576	Lowa	KNEAD	274	Hnjok‍kin			 knead, squeeze and	ॱङयोक्कीि
577	Lowa	OBSCURE	1764	Hnjok‍pa			 dim, faint, indistinct, obscure, misty, muddy	ॱङयोक्पा
578	Lowa			Hnjop‍kin			 reach	ॱङयोप्कीि
579	Lowa			Hnjom‍dze			 balanced	ॱङयोम्जे
580	Lowa			Hnjøgin			become mad or insane, to utter unintelligible words or do things carelessly	ॱङयछो़गीि
581	Lowa	SOON	703	Hŋaː			 soon, before long, quickly	ॱङाः
582	Lowa			Hŋak‍‍pa			ama	ॱङाक्पा
583	Lowa			Hŋakw‍ a			uddhist monk who can marry	ॱङाक्िा
584	Lowa	HURRY	754	Hŋaŋɖak Htsjhe			 haste, hurry, rashness	ॱङाङडाक्के
585	Lowa			Hŋa‍tsak‍pa			 sweet and sour	ॱङा्चाक्पा
586	Lowa			Hŋadzin			 underestimating, domineering, insulting, oppression	ॱङाजीि
587	Lowa			Hŋadzok			 drumstick	ॱङाजोक
588	Lowa	EARLY	672	Hŋat‍ti			 early	ॱङातत् ी
589	Lowa	FIFTY	1717	Hŋap‍tsju			 fifty	ॱङापच् ्यकु
590	Lowa	NINE	1483	Hŋap‍tsju ʟŋak‍ku			nine	ॱङापच् ्यकु्ङाक्ककु
591	Lowa	ONE	1493	Hŋap‍tsju ʟŋak‍tsjik			one	ॱङापच् ्यकु्ङाक्च्यीक
592	Lowa	THREE	492	Hŋap‍ts‍ju ʟŋak‍sum			three	ॱङापच् ्यकु्ङाक्सकुम
593	Lowa	EIGHT	1705	Hŋap‍tsju ʟŋap‍gjek			eight	ॱङापच् ्यकु्ङाप्ग्येक
594	Lowa	SEVEN	1704	Hŋap‍tsju ʟŋap‍dyn			seven	￼￼￼￼ॱङाप्च्यकु्ङाप्दीि
595	Lowa	FOUR	1500	Hŋap‍tsju ʟŋap‍ʟsji			four	ॱङाप्च्यकु्ङाप्श्यी
596	Lowa	TWO	1498	Hŋap‍tsju ʟŋeŋŋi			two	ॱङाप्च्यकु्ङेङङी
597	Lowa	FIVE	493	Hŋap‍tsju ʟŋeŋa			five	ॱङाप्च्यकु्ङेङा
598	Lowa	SIX	1703	Hŋap‍tsju ʟŋeʟʈuk			six	ॱङाप्च्यकु्ङेढकुक
599	Lowa	ROT	2907	Hŋam‍dak‍pa			 rot	ॱङाम्दाक्पा
600	Lowa			Hŋawa			fifth	ॱङािा
601	Lowa	SWEET	717	Hŋasoli			sweet, sugary, honeyed, sweet taste	ॱङासोली
602	Lowa			Hŋi Hsegin			s senses	￼￼ॱङी्सगे ीि
603	Lowa	HEART	1223	Hŋiŋ			 heart, centre, chief	ॱङीङ
604	Lowa	BRAVE	3	Hŋiŋ Htsjhe			 fearless, brave, gallant, chivalrous, courageous, bold, daring, undaunted, intrepid	ॱङीङ्के
605	Lowa			Hŋiŋ ʟtsʝela			 sweet call	ॱङीङ्झ्येला
606	Lowa	PITY	1141	Hŋiŋdzje			 kindness, pity, mercy, favour, charity	ॱङीङज्ये
607	Lowa			Hŋiŋdu Htsjhe			 going person	ॱङीङद्कु के
608	Lowa	OLD	1229	Hŋiŋba			 old, ancient, chronic, archaic, worn out, ragged, experienced	￼￼￼￼￼ॱङीङबा
609	Lowa	HAPPINESS	2941	Hŋiŋsaŋ			 pleasure, bliss, happiness	ॱङीङसाङ
610	Lowa	WRINKLE	2294	Hŋitsjum‍ba			 wrinkle, contraction of skin	ॱङीच्यकुम्बा
611	Lowa			Hŋidzi ʟmegin			 hearted, insensitive, unfeeling	ॱङीजी्मगे ीि
612	Lowa			Hŋiʈi			s nose while ploughing	ॱङीटी
613	Lowa			Hŋip Htsjuk‍kin			 put traps	ॱङीप्च्यकुक्कीि
614	Lowa			Hŋip‍re			 agricultural machine	ॱङीप्रे
615	Lowa			Hŋire			 leading lama at a cremation	ॱङीरे
616	Lowa	DREAM	2374	Hŋilam			 dream, reverie, fantasy	ॱङीलाम
617	Lowa	SECOND	1384	Hŋiwa			 second, other, next	ॱङीिा
618	Lowa			Hŋy‍tsama			 wrinkled person	ॱङी़्चामा
619	Lowa	SWEAT (SUBSTANCE)	125	Hŋunak			 sweat, perspiration, vapour, water	￼￼￼￼ॱङकुिाक
620	Lowa			Hŋuwa Htøŋgin			 of	ॱङकुिा्तछो़ङगीि
621	Lowa			Hŋo Hkote			 type of green vegetable	ॱङो्कोते
622	Lowa			Hŋo ʟgjawubola			 edible greenery found on farms	ॱङो्ग्यािकुबोला
623	Lowa			Hŋo Hŋip			 type of green vegetable	ॱङो्ॱङीप
624	Lowa			Hŋo Htsatilamu			 green vegetable	ॱङो्चातीलामकु
625	Lowa			Hŋo Htim‍dzju			 green vegetable	ॱङो्तीम्ज्यकु
626	Lowa			Hŋo Hmit‍ti			 fenugreek	ॱङो्ॱमीत्ती
627	Lowa			Hŋo ʟsjoʈok			 green vegetable	ॱङो्श्योटोक
628	Lowa			Hŋodzaŋ			 green malt	ॱङोजाङ
629	Lowa	GREEN	1425	Hŋothiŋi			 green, green colour	￼￼￼￼ॱङोथीङी
630	Lowa	CERTAIN	509	Hŋon‍neki			 actually, in fact, in truth, certainly	ॱङोन्िके ी
631	Lowa			Hŋon‍negu			 mainly	ॱङोन्िगे कु
632	Lowa			Hŋosoli			 greenery, vegetation	ॱङोसोली
633	Lowa			Hŋøk Hkogin			 pick a fight, provoke	ॱङछो़क्कोगीि
634	Lowa	WHITE	1335	Htsak Hkau			 white	चाक्काउ
635	Lowa			HtsakHtsak			 sound of chewing chewing gum	चाक्चाक
636	Lowa			Htsak ʟnak‍po			 black clay	चाक्िाक्पो
637	Lowa	COAL	2658	Htsak Hsola			 coal, charcoal, cinder	चाक्सोला
638	Lowa			Htsak‍tsa Htsjik			 just a while	चाक्चा्च्यीक
639	Lowa			Htsak‍tu			 pile up one above another	चाक्तकु
640	Lowa	TALL	711	Htsago Htsjhe			 tall	चागो्के
641	Lowa	RIVER	666	Htsaŋbu			 river, stream	चाङबकु
642	Lowa	HIGH TIDE	613	Htsaŋbu ʟgjegin			 flood	चाङबकु्ग्येगीि
643	Lowa	CLEAN	704	Htsaŋa			 clean, neat, clear, pure, unadulterated, innocent, frank	चाङा
644	Lowa			Htsatsju			 medicine for nerve	चाच्यकु
645	Lowa	LOOK FOR	1468	Htsadzu			 search, investigation, enquiry, research, quest, pursuit	चाजकु
646	Lowa			Htsaɖip			 paralysis	चाडीप
647	Lowa	EIGHTEEN	1713	Htsap‍gjek			 eighteen	चाप्ग्येक
648	Lowa	TIME	892	Htsap‍te			 time, occasion	चाप्ते
649	Lowa	THREE TIMES	417	Htsap‍te Hsum			 three times	चाप्त्े सकुम
650	Lowa			Htsaraŋ			 name of a village	चाराङ
651	Lowa			Htsaratsuri			 small things	चाराचकुरी
652	Lowa			Htsiː			 counting, reckoning, calculation, account, arithmetic	चीः
653	Lowa			Htsiː Hkorkin			 funerary rite	चीः्कोरकीि
654	Lowa	MASON	877	Htsik‍dzowa			 mason, bricklayer	चीक्जोिा
655	Lowa			Htsiŋ Htsiŋ			s neck	चीङ्चीङ
656	Lowa			Htsidzok			 of or from government, official	चीजोक
657	Lowa			Htsidaŋ Htsjhe			 respectful	चीदाङ्के
658	Lowa			Htsiduk			 plural of kid or lamb	चीदककु
659	Lowa			Htsiduŋ			 accountant	चीदङकु
660	Lowa			Htsiwa			 accountant	चीिा
661	Lowa			Htsyn‍gin			 control	चीन्गीि
662	Lowa			Htsyn‍ɖy Htsjhe			 hard working	चीन्डी्के
663	Lowa	COARSE	2151	Htsup‍koro			 coarse, rough, rugged	￼￼￼￼चकुप्कोरो
664	Lowa	COARSE	2151	Htsuba			 coarse, rough, rugged	चकुबा
665	Lowa			Htsum			s eyes or mouth	चकुम
666	Lowa	QUIET	1314	Htsumi			 silent, quiet, remain silent, silence, quietness, muteness	चकुमी
667	Lowa	SMOKE (INHALE)	1689	Htsura Hthuŋgin			 smoke	चकुरा्थकुङगीि
668	Lowa	HEMP	2041	Htsura ʟhadza			 hemp, marijuana	चकुरा्हाजा
669	Lowa	SHUTTLE	543	Htsek‍kak			 small rod in a loom, shuttle	￼￼￼चके ्काक
670	Lowa	TOP	1753	Htset‍to			 top, tip, peak, summit	चते ्तो
671	Lowa	SPADE	1176	Htsep‍ja			 spade	चपे ्या
672	Lowa			Htsemar			 hair style	चमे ार
673	Lowa	PLAY	1413	Htsemu Htsegin			 play	चमे कु्चगे ीि
674	Lowa			Htsem‍gin			 cause to sew	चमे ्गीि
675	Lowa			Htsok‍pu			 bunch of dried mustard plants	चोक्पकु
676	Lowa	SELL	1571	Htsoŋgin			 sell, dispose of	चोङगीि
677	Lowa			Htsø			 black antelope	चछो़
678	Lowa	BUCKET	2052	Htsjak‍dzu			 bucket	च्याक्जकु
679	Lowa			Htsjak‍ʈa			 iron bar	च्याक्टा
680	Lowa	PLANT (VEGETATION)	653	Htsjaŋma Htsuk‍kin			 plant	च्याङमा्चकुक्कीि
681	Lowa			Htsjaʈhi			 iron bed	च्याठी
682	Lowa			Htsjik Htsjikla			 mutual, reciprocal, mutually	च्यीक्च्यीकला
683	Lowa			Htsjik Htsjiga			 only one	च्यीक्च्यीगा
684	Lowa			Htsjik ʟtsʝina			 nearly, about, approximately	च्यीक्झ्यीिा
685	Lowa	ALONE	1964	Htsjigara			 single, alone, unrivalled	च्यीगारा
686	Lowa	COARSE	2151	Htsjiŋgoro			 coarse, rough, rugged	च्यीङगोरो
687	Lowa			Htsjiŋdzak			 bed wetter	च्यीङजाक
688	Lowa			Htsjiŋdzara			 urinating, incontinent	च्यीङजारा
689	Lowa	PERHAPS	2278	Htsjiʟtsʝina			 perhaps, possibly	च्यीझ्यीिा
690	Lowa	SUGAR	862	Htsjini			 sugar	च्यीिी
691	Lowa			Htsjiwak			 type of wheat	च्यीिाक
692	Lowa			Htsjydze			 nutritious food	च्यीजे
693	Lowa	TEN	1515	Htsju			 ten	￼￼￼￼च्यकु
694	Lowa	ELEVEN	1706	Hts‍juk‍ts‍jik			 eleven, eleventh	च्यकुक्च्यीक
695	Lowa	TWELVE	1707	Htsjuŋŋi			 twelve	च्यकुङङी
696	Lowa			Htsjuŋjok			man who is the youngest in the family	चयकुङयोक
697	Lowa			Htsjudza			 type of leafy vegetable	च्यकुजा
698	Lowa	PUSH	1452	Htsjurkin			 push, shove, elbow	च्यकुरकीि
699	Lowa			Htsjuli			 type of fruit	च्यकुली
700	Lowa			Htsjok‍ra			 like that, resembling	च्योक्रा
701	Lowa			Htsjok‍re			 like that, resembling	￼￼￼￼च्योक्रे
702	Lowa			Htsjoma			s given birth	च्योमा
703	Lowa	ANGER	82	Htsjøkjak			 anger	च्यछो़क्याक
704	Lowa			Htsha ʟtok‍tok			 rock salt	छा्धोक्तोक
705	Lowa	GRANDSON	1618	Htshau			 grandson	छाउ
706	Lowa	SPOT	519	Htshak			 spot	छाक
707	Lowa			Htshak‍dzi			 filter	छाक्जी
708	Lowa	DIRT	25	Htshak‍ru			 unclean, dirt, filth, dung	छाक्रू
709	Lowa	BEHIND	1686	Htshak‍la			 behind, at the back of, back	छाक्ला
710	Lowa			Htshadzoŋ			 salt trade	छाजोङ
711	Lowa	BURN	2102	Htshathiŋthiŋ			 inflame, burn, scorch, sear, singe	छाथीङथीङ
712	Lowa			Htshap‍la			 exchanging, substitute	छाप्ला
713	Lowa			Htshamkhaŋ			 place for meditation	छामखाङ
714	Lowa			Htshartu Htsjuk‍kin			allowtogrow	छारतकु्च्यकुक्कीि
715	Lowa			Htsharaŋ			 salt depot, salt mine	छाराङ
716	Lowa			Htsharop			 poke with a needle	￼￼￼￼छारोप
