ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	nepaleseGloss	pos	headword	semanticDomain
866	Kagate			ʈʰum			fifth month in the Hindu calendar (August-September)	भाद्र	n	ठुम	
867	Kagate			ʈʰusa			tap, bathroom	नुहाउने ठाउँ, धुने ठाउँ	n	ठुसा	6.5.2.7
868	Kagate	MILLET	931	ʈʰe			millet	कोदो	n	ठे	6.2.5.1
869	Kagate			ʈʰe somak			straw of millet	कोदोको नल	n	ठे सोमाक	6.5.3.1
870	Kagate			ʈʰek‍tsʲuŋ			round wooden vessel (for holding curds)	ठेको	n	ठेका	5.1.1
871	Kagate			ʈʰetse			to be strained	मनमुटाव हुनु	v	ठेचे	4.1.9.7
872	Kagate			ʈʰesa			stalk remaining after cutting off of a plant	छड्के	n	ठेसा	
873	Kagate	CITY	2547	ʈʰoŋ‍sa			city	शहर	n	ठोङ्‍सा	4.6.7.2
874	Kagate			ʈʰom‍sa			district	जिल्‍ला	n	ठोम्‍सा	4.6.7.3
875	Kagate			ʈʰ‍jammaⁱ			absolutely, totally	बिल्कुल, पटक्क	conn	ठ्‍याम्माइ	
876	Kagate	BOTTOM	690	ᶫɖak			bottom	फेद		डाःक	1.2.1.1
877	Kagate			ᶫɖak na tsʲodok			senseless talking	फेद न टुप्पो	adv	डाःक ना च्‍योदोक	3.5.8.2
878	Kagate	PHYSICIAN	597	ᶫɖak‍ᶫɖar			doctor	डाक्टर	n	डाक्‍डार	6.3.8
879	Kagate			ᶫɖaŋ‍dze / ᶫdaŋ‌dze			to be feed to the full	अगाउनु	v	डाङ्‍जे / दाङ्‌जे	2.2.8
880	Kagate			ᶫɖabar			pox	फुका	n	डाबार	
881	Kagate	CHEEK	1730	ᶫɖam‍ba			cheek	गाला	n	डाम्‍बा	2.1.1
882	Kagate	MOLAR TOOTH	1049	ᶫɖam‍so			molar tooth	बङ्गारो	n	डाम्‍सो	2.1.1.5
883	Kagate	LADLE	2657	ᶫɖaru			ladle	डाडु	n	डारु	5.2.2.8
884	Kagate			ᶫɖal‍pʰin			dolfine	डल्फीन	n	डाल्‍फीन	1.6.1.1.7
885	Kagate			ᶫɖãsi			bed bug	उडुस	n	डाँसी	
886	Kagate	TOWARDS	2754	ᶫɖasʲu			towards	तीर	n	डास्‍यु	6.4.1
887	Kagate			ᶫɖik‍tse			to agree, to match	सहमत हुनु, मिल्नु	v	डीक्‍चे	7.5.2
888	Kagate			ᶫɖiktse			to be adjusted	मिल्नु	v	डीक्चे	2.3.1.8
889	Kagate			ᶫɖik‍dze			to be adjusted	मिल्नु	v	डीक्‍जे	4.1.5
890	Kagate	GRAIN	605	ᶫɖu			grain	अन्‍न	n	डु	6.2.6.1
891	Kagate			ᶫɖuk‍pa			Bhutan	भुटन	n	डुक्‍पा	9.7.2.1
892	Kagate			ᶫɖuŋ‍gare			Dhungare (name of a place)	ढुङ्‍गारे	n	डुङ्‍गारे	9.7
893	Kagate	SET (HEAVENLY BODIES)	160	ᶫɖup‍tse			to be drowned, to be in deep thought, to be lost, set, die	डुब्नु, अस्ताउनु	v	डुप्‍चे	1.1.1.1
894	Kagate			ᶫɖum			sting (of a hornet, wasp or bee);type of hot spice (like a back pepper)	खील;टिम्मुर	n	डुम	1.6.2.4
895	Kagate	WITCH	824	ᶫɖe			witch	बोक्सो	n	डे	4.9.2
896	Kagate			ᶫɖeŋ‍ga			terraced field	पाटा, गरो	n	डेङ्‍गा	4.2.6.2.2
897	Kagate			ᶫɖeʈap kʲap‍tse			to throw down, to slip	पछार्नु, चिप्लिनु	v	डेटाप क्‍याप्‍चे	
898	Kagate			ᶫɖen			man offering hospitality;feast, banquet	मेजमान;भोज भतेर	adj	डेन	5.2
899	Kagate			ᶫɖepu			agent;flatterer (a person who lavishes praise, often insincerely, a sycophant);slippery	दलाल;चिप्ले;चिप्लो	adj	डेपु	6.8.4.4
900	Kagate			ᶫɖepuᶫkʲurtse			to coax	चिप्लो घस्‍नु	v	डेपुक्‍युःर्चे	3.5.1.7.2
901	Kagate	MONEY	1559	ᶫɖep‍ʈuk / ᶫɖeba			money	पैसा	n	डेप्‍टुक / डेबा	6.8.6.1
902	Kagate	MONEY	1559	ᶫɖeba			money	पैसा	n	डेबा	6.3.7
903	Kagate	WITCH	824	ᶫɖemu			witch	बोक्सी	n	डेमु	4.9.2
904	Kagate			ᶫɖeli			type of basket	डेली	n	डेली	
905	Kagate			ᶫɖo			maybe	होला		-डो	
906	Kagate	GO	695	ᶫɖo kʰus‍wã			go	जान सग्ला	clf	डो खुस्‍वाँ	9.4.4.6.2
907	Kagate	GO	695	ᶫɖodze			to go, to walk	जानु, हिँड्नु	v	डोजे	2.5.1.1
908	Kagate	GUEST	1782	ᶫɖom‍bo			guest	पाहुना	n	डोम्‍बो	5.2.2.3
909	Kagate			ᶫɖol‍ma			Dolma (name of a person)	डोल्मा	n	डोल्‍मा	9.7.1.1
910	Kagate			ᶫɖosa			place to go	जाने ठाउँ	n	डोसा	7.2.4.3
911	Kagate			ᶫɖjaŋ‍re			type of herbs	लोट सल्‍ल	n	ड्‍याङ्‍रे	2.5.7.3
912	Kagate			ᶫɖjam‍dze			slap	लबटो	n	ड्‍याम्‍जे	
913	Kagate	BREATH	870	u			breath, breathing	सास	n	उ	2.1
914	Kagate	WE	1212	ᶫu			we	हामी	pro	उः	3.1
915	Kagate	KILL	1417	u tsetse			to kill, (lit. to cut/stop breath)	सास निभाउनु, सास कटाउनु	v	उ चेचे	8.4.6.1.3
916	Kagate	DIE	1494	u ʈol‍dze			to die	मृत्यु दिनु	v	उ टोल्‍जे	5.5.2
917	Kagate			u ludze			to come back to oneself	सास हाल्नु (ब्यूँताउनु)	v	उ लुजे	2.6
918	Kagate			u lodze			to save	सास फर्काउनु (बचाउनु)	v	उ लोजे	
919	Kagate	REST	168	u sodze			to rest	थकाइ मार्नु	v	उ सोजे	7.2.1.1
920	Kagate	BREATHE	1407	u sʲaŋ‍dze			to breathe	सास फेर्नु	v	उ स्‍याङ्‍जे	2.6
921	Kagate			u hal‍dze			asthma to increase	दम बढ्नु	v	उ हाल्‍जे	
922	Kagate			uiᶫkʲupa			creature, fauna	प्राणी, जीव जन्तु	n	उइक्‍युःपा	1.6
923	Kagate			utsʰup‍tse			to suffocate	निसासिनु	v	उछुप्‍चे	3.4.2.1.4
924	Kagate			udzuri			complaint	उजुरी	n	उजुरी	3.5.1.8
925	Kagate	FIST	1473	uʈ‍ʈi			fist	घुस्सी	n	उट्‍टी	2.1.6
926	Kagate	CAMEL	1871	uʈʰ			camel	उँट	n	उठ	6.3.1.7
927	Kagate			ud‍gaʈan			opening	उद्‍घाटन	n	उद्‍गाटान	3.2.3.3
928	Kagate	COVER	761	up‍ken			cover, covering	छोप्ने (ढकन, ढकनी)	n	उप्‍केन	3.5.1.1.6
929	Kagate	COVER	761	up‍tse			to cover	छोप्नु	v	उप्‍चे	8.3.7.8.3
930	Kagate			um‍si			type of tree	खराने रुख	n	उम्‍सी	
931	Kagate			uruŋ			chunk	ह्रास, थुप्रो	adj	उरुङ	
932	Kagate			urken pesʲo			special hat worn by lamas	लामाले लगाउने विशेष टोपी	n	उर्केन पेस्‍यो	5.3.5
933	Kagate			urtse			to make fly	उडाउनु	v	उर्चे	1.1.3.1
934	Kagate	FLY (MOVE THROUGH AIR)	1441	ᶫurtse			to fly	उड्नु	v	उःर्चे	1.3.3.1
935	Kagate			ᶫursʲuk			exaggerated	फट्याइँ	n	उःर्स्‍युक	4.3.5.5
936	Kagate	NOW	1376	ᶫta			now	अब	adv	ताः	
937	Kagate	ALREADY	2576	ᶫtaira			already, before	अघि नै	adv	ताःइरा	
938	Kagate			tak			during	ताका	adv	ताक	
939	Kagate	TIGER	846	tak / ta / tsen			tiger	बाघ	n	ताक / ता / चेन	1.7
940	Kagate	CAP	1288	taki			cap	टोपी	n	ताकी	5.3.3
941	Kagate			tak‍pa			axe-head or spade-head (having ring-like hole for inserting its handle)	कोदालोको वा बन्चरो पासो	n	ताक्‍पा	
942	Kagate			ᶫtak‍pu			proprietor;owner	मालिक;दानी	n	ताःक्‍पु	6.5.1.3
943	Kagate			tãga			cross piece of bamboo or wood in a grass fenc	साटो वा बाटा	n	ताँगा	2.6.6.3
944	Kagate	SMART	2530	ᶫtaŋasaŋ‍‌bu			smart	फुर्तिलो	adj	ताःङासाङ्‍‌बु	3.3.1
945	Kagate	PURE	1147	ᶫtaŋ‍gasaŋ‍bu			pure	शुद्ध	adj	ताःङ्‍गासाङ्‍बु	9.4.4.1
946	Kagate			taŋ‍‌‍gu / taŋ‍bu			Rhododendron	लालीगुराँस	n	ताङ्‍‌‍गु / ताङ्‍बु	1.5.1
947	Kagate	SEND	1127	taŋ‍‌dze			to send;to leave, to untie	पठाउनु;छोड्नु, फुकाउनु	v	ताङ्‍‌जे	2.6.6.3
948	Kagate			ᶫtaŋ‍bu			ago	उहिले	n	ताःङ्‍बु	8.4.1.7
949	Kagate			ᶫtaŋ‍bu taŋ‍siŋ			in ancient time	उहिले उहिले	adv	ताःङ्‍बु ताङ्‍सीङ	8.4.4
950	Kagate			ᶫtaŋ‍masigu			type of herb from which Nepali paper is made	लोकतो	n	ताःङ्‍मासीगु	
951	Kagate			ᶫtaŋ‍riŋ‍bu			sluggish, slack	लोसे	adj	ताःङ्‍रीङ्‍बु	8.4.2.2
952	Kagate	BRIGHT	679	ᶫtaŋ‍‌saŋ‍bu			bright	उज्यालो	adj	ताःङ्‍‌साङ्‍बु	1.1.1.1
953	Kagate			ᶫtaŋ‍‌siŋ			traditional	परम्परागत	n	ताःङ्‍‌सीङ	4.3.9.1
954	Kagate			ᶫtaŋ‍siŋ			past generation, tradition	परा पूर्व	adv	ताःङ्‍सीङ	2.6.4.8
955	Kagate	LOOK	1819	tadze			to look, to watch, to care;to bind;to put on (clothes)	हेर्नु;बाँध्नु;लगाउनु	v	ताजे	4.3.2.4
956	Kagate			ᶫtap‍kʲok			hybrid (intercaste product children)	ठिमाहा	n	ताःप्‍क्‍योक	3.4.2.1.2
957	Kagate			tap‍tse			to disperse	छर्नु	v	ताप्‍चे	6.2.1.1.2
958	Kagate			ᶫtap‍tse			to fall off;to survey	झर्नु, खस्‍नु;नाप्नु	v	ताःप्‍चे	2.5.2.2
959	Kagate	HORSE	615	tabu			horse	घोडा	n	ताबु	7.2.4.1.1
960	Kagate	STABLE	851	tabela			stable, building for horses	तबेला	n	ताबेला	6.3.1.7
961	Kagate	CONVERSATION	2933	tam			conversation;language	कुरा;भाषा	n	ताम	4.8.4
962	Kagate	CONVERSATION	2933	tam / ᶫlep			conversation	कुरा	n	ताम / लेःप	5.7.2
963	Kagate			tam ᶫlatse			to converse, to chat, to talk	कुरा गर्नु, बात मार्नु, गफ गर्नु	v	ताम लाःचे	4.2.1.4
964	Kagate			tam ᶫsan‍di			Accepted	स्वीकार योग्य, कुरा खाने	adv	ताम साःन्‍दी	3.5.2.4
965	Kagate			tamasuk			bond of transaction	तमसुक	n	तामासुक	6.5.1.3
966	Kagate	MARE	938	tamu			mare	घोडी, घोडा (स्त्री)	n	तामु	6.3.1.7
967	Kagate			tamor tsaŋbu			Tamor river	तमोर कोशी	n	तामोर चाङ्‍बु	9.7.2.9
968	Kagate			tamgere			talkactive	गफाडी, कुरौटे	adj	ताम्गेरे	3.5.1.3.4
969	Kagate	TIE	1917	ᶫtam‍dze			to bind, to frap	बाँध्नु, कस्‍नु	v	ताःम्‍जे	6.6.4.1
970	Kagate			ᶫtam‍dzʲa			agreement, contract;bondage	करार, प्रतिज्ञा;बन्धन	n	ताःम्‍ज्‍या	4.7.8
971	Kagate			ᶫtam‍dzʲaŋ			fastening	बन्धन	n	ताःम्‍ज्‍याङ	
972	Kagate			tam‍ba			regime	शासन	n	ताम्‍बा	4.6.1
973	Kagate	TIE	1917	ᶫtam‍ba			bind	बाँध्यो (सवाल)	adv	ताःम्‍बा	4.9.2
974	Kagate			ᶫtambu			miser	कन्जुस	adj	ताःम्बु	3.4.2.1.8
975	Kagate	GREEDY	2018	ᶫtam‍bu			greedy;harsh	लोभी, कन्जुस;कठोर मन, कठोर	adj	ताःम्‍बु	5.2.2.4
976	Kagate			ᶫtam‍bu ᶫlelam			relentless behavior	निष्‍ठुर व्यवहार	adj	ताःम्‍बु लेःलाम	4.7.9.5
977	Kagate	BEAN	832	tam‍ra			bean	सिमी	n	ताम्‍रा	6.2.5.1
978	Kagate			ᶫtam‍saŋ			independent	स्वतन्त्र	adj	ताःम्‍साङ	7.2.6.4
979	Kagate			tamsaliŋ			tamsaling	तामसालिङ	n	ताम्‍सालीङ	9.7.2.2
980	Kagate	WIRE	2631	tar			wire	तार	n	तार	6.6.8.1
981	Kagate			ᶫtara			sour milk, remaining watery part when butter is separeted from curd	मोही	n	ताःरा	6.3.1.1
982	Kagate			ᶫtara ᶫkʲap‍tse			to accompany	पिछा गर्नु, पछ्याउनु	v	ताःरा क्‍याःप्‍चे	7.2.5.2
983	Kagate			ᶫtara sʲaŋ‍dze			to make sourmilk	मोही पार्नु	v	ताःरा स्‍याङ्‍जे	
984	Kagate	AXE	677	tari			axe	बन्चरो	n	तारी	7.8.5
985	Kagate	STILL (CONTINUING)	2919	ᶫtaruŋ			still	अझै	adv	ताःरुङ	8.1.4
986	Kagate	WALNUT	2042	tarka			walnut	ओखर	n	तार्का	1.5.1
987	Kagate			tarkam			small piece of stick	सिन्को	n	तार्काम	8.4.6.1.2
988	Kagate	RUB	1449	ᶫtartse			to rub;to sharpen (as of the blade of a knife, kukri, etc.);to cleanse	घोट्नु;उद्याउनु, तिखार्नु;माझ्नु, मस्काउनु	v	ताःर्चे	8.3.2.3
989	Kagate	FLAG	2623	ᶫtartsʲu			flag	झण्डा	n	ताःर्च्‍यु	2.6.6.3
990	Kagate	ICE	617	ᶫtartaŋ			ice	बरफ	n	ताःर्ताङ	1.2.3
991	Kagate			tartidze			to take one across	तार्नु	v	तार्तीजे	
992	Kagate			ᶫtarsiŋ			long and fat wood for support	लिङ्गो	n	ताःर्सीङ	
993	Kagate			taluŋ			looking	हेराई	n	तालुङ	2.3.1.1
994	Kagate	NOW	1376	ᶫtalen			now, at present	अहिले	adv	ताःलेन	
995	Kagate			ᶫtal‍da			later in the evening or afternoon	भरे	adv	ताःल्‍दा	
996	Kagate	CLUB	1763	tas			playing cards (ones that have the symbols heart, club, diamond and spade)	तास	n	तास	4.2.6.1.1
997	Kagate	NEED (NOUN)	643	tasuk			need, necessity	खाँचो	n	तासुक	
998	Kagate	NOW	1376	ᶫtase			now	अहिले	adv	ताःसे	6.8.2.6
999	Kagate	NOW	1376	ᶫtaseidira			now	अहिलेकै	adv	ताःसेइदीरा	8.4.8.3
1000	Kagate	NOW	1376	ᶫtasera			now	अहिले नै	adv	ताःसेरा	8.4.6.4.4
1001	Kagate			ᶫtasʲa			malnutrition	कुपोषण	n	ताःस्‍या	1.3.6
1002	Kagate			ᶫtasʲa tsʰetse			to be malnutrition	कुपोषण हुनु	v	ताःस्‍या छेचे	2.5.2.1
1003	Kagate	SIGN	1720	tasʲal			stain, mark	दाग	n	तास्याल	
1004	Kagate			ᶫtasʲal			exhaustedd	थकित	n	ताःस्‍याल	4.3.5.6
1005	Kagate	JUST	84	ᶫtas‍sera			just	भर्खर	n	ताःस्‍सेरा	
1006	Kagate	UP	1591	tiula			up	माथि (धेरै माथि)	adv	तीउला	
1007	Kagate			ᶫtik			type of upright cooking pot	डेक्ची, कसौँडी	n	तीःक	5.2.2.8
1008	Kagate			ᶫtik‍pa			vice	पाप	n	तीःक्‍पा	6.4.6
1009	Kagate	CLEVER	1310	tik‍pu			clever	टाठो बाठो	adj	तीक्‍पु	
1010	Kagate			tik‍sur			planet, ill luck	ग्रह, दशा	n	तीक्‍सुर	1.1.1.3
1011	Kagate	BEHIND	1686	tiŋ			behind, after	पछाडि, पछि	adv	तीङ	2.6.6.8
1012	Kagate	BASE	831	ᶫtiŋ			base	पिँध	n	तीःङ	
1013	Kagate	FOLLOW	1085	tiŋ ᶫkʲap‍tse			to follow	पिछा लाग्नु	v	तीङ क्‍याःप्‍चे	7.2.6
1014	Kagate	RETREAT	421	tiŋ ᶫsʲudze			to retreat	पछि हट्नु	v	तीङ स्‍युःजे	7.2.2.2
1015	Kagate	MAT	195	tiŋ‍dze			to spread (as a sheet, mat, cushion, etc.)	ओछ्याउनु, ओछ्‌याउनु	v	तीङ्‍जे	6.6.1
1016	Kagate	PRESS	1913	ᶫtiŋ‍dze			to press down	खाँद्नु	v	तीःङ्‍जे	
1017	Kagate			tiŋtʰup			back up	पछि सम्म	adv	तीङ्‍थुप	8.4.2.3
1018	Kagate	SOLE (FOOT)	2666	tiŋ‍ba			sole, heel	पैताला, कुर्कुच्‍चा	n	तीङ्‍बा	2.1.3.2
1019	Kagate			tiŋ‍ba sʲortse			to touch the childbirth wound with a heel	सुत्केरी अवस्थामा कुर्कुच्‍चाले योनिको घाउ छुनु	v	तीङ्‍बा स्‍योर्चे	
1020	Kagate	AFTER	1685	tiŋ‍la			after, behind	पछि, पछाडि	adv	तीङ्‍ला	7.2.5.2
1021	Kagate	CURRENT (STREAM)	2935	ᶫtiŋ‍saŋ			current	हालसाल, वर्तमान	adv	तीःङ्‍साङ	3.5.3.2
1022	Kagate			tidzi			very litlle	थोरै भन्दा थोरै	adj	तीजी	
1023	Kagate			tidze			to empty	निथार्नु, तर्काउनु	v	तीजे	
1024	Kagate			ᶫtin			seven;	सात	num	तीःन	8.1.1.1
1025	Kagate			ᶫtinam			era, situation	युग, परिस्थिति	n	तीःनाम	8.4.6
1026	Kagate			ᶫtin‍dzi			weekly	साप्ताहिक	n	तीःन्‍जी	8.4.1.3.1
1027	Kagate			ᶫtin‍dzʲar			Water offering rental (seven Fares)	जल चढाउने भाडा (सात भाडा)	n	तीःन्‍ज्‍यार	5.1.2
1028	Kagate	SMOKE (INHALE)	1689	ᶫtipa			smoke	धुवाँ	n	तीःपा	5.5.1
1029	Kagate			ᶫtipak			black carbon	ध्वाँसो	n	तीःपाक	5.5.5
1030	Kagate	BURY	1719	ᶫtip‍tse			to bury	गाड्नु	v	तीःप्‍चे	7.6
1031	Kagate	FEW	1242	tibi			lack, few	कमी, थोरै	adj	तीबी	8.1.7.2
1032	Kagate	FEW	1242	tibi-tibi			few	थोरै-थोरै	adv	तीबी-तीबी	5.2.2.7
1033	Kagate			tibitsig			slightly, few only	अलिकति, थोरै, थोरै मात्रा		तीबीचीग	9.3.1.2
1034	Kagate	SMALL	1246	tibitsʲa			little	अलिकति	pro	तीबीच्या	8.3.3.3.4
1035	Kagate	SMALL	1246	tibitsʲa			little	अलिकति	adj	तीबीच्‍या	7.5.8
1036	Kagate			tibiᶫrere			slight	अलि-अलि, थोरै-थोरै	adv	तीबीरेःरे	3.2.3
1037	Kagate	FEW	1242	tib‍tibi			few	थोरथोरै	adj	तीब्‍तीबी	9.3.3
1038	Kagate	DEFEND	1330	timdze			to defend	रक्षा गर्नु	v	तीम्जे	
1039	Kagate			tim‍bu			ball-like stone used for grinding up something on a flat slab of stone	लोहोरो	n	तीम्‍बु	6.7.2
1040	Kagate	NAVEL	1838	tija			navel	नाइटो	n	तीया	2.1.2
1041	Kagate			tijaŋ			species of hornet	बच्छ्युँ	n	तीयाङ	
1042	Kagate	TODAY	1283	ᶫtiᶫriŋ			today	आज	adv	तीःरीःङ	8.4.1.2.2
1043	Kagate	POISON	655	ᶫtu			poison	बिख, हड्ताल, बिख	n	तुः	2.6.6.7
1044	Kagate			tuitidze			to miscarry (a baby)	गर्भ तुहुनु	v	तुइतीजे	2.6.3.3
1045	Kagate	DECEIT	13	ᶫtuk			deception	धोका, घच्‍चा	n	तुःक	4.3.5.5
1046	Kagate	BETRAY	1902	ᶫtuk tertse			to deceive	घच्‍चा दिनु, धोका दिनु	v	तुःक तेर्चे	7.7
1047	Kagate	DOVE	1853	ᶫtuᶫkur			dove	ढुकुर	n	तुःकुःर	
1048	Kagate			ᶫtuk‍pu			sorrow	दुःख, दु:ख	n	तुःक्‍पु	6.8.4.7
1049	Kagate			ᶫtuk‍pu nʲuŋ‍dze			to get trouble	दुःख पाउनु	v	तुःक्‍पु ङ्‍युङ्‍जे	3.4.2.1
1050	Kagate	SUFFER	1101	ᶫtuk‍pu ᶫpedze			to suffer	दु:ख गर्नु	v	तुःक्‍पु पेःजे	3.2.4.2
1051	Kagate			ᶫtukʲok‍pa			traitor	धोकेबाज	n	तुःक्‍योक्‍पा	4.3.5.5
1052	Kagate	POOR	1674	ᶫtuk‍si			poor	गरीब	adj	तुःक्‍सी	3.4.2.1
1053	Kagate			ᶫtuk‍si ᶫɖodze			to be poor	गरीब हुनु	v	तुःक्‍सी डोजे	8.1.7.2
1054	Kagate			ᶫtuk‍suk			poverty-stricken	दुखिया	adj	तुःक्‍सुक	4.4.2.6
1055	Kagate	SAD	699	ᶫtuk‍sʲa			sad	दुखी	adj	तुःक्‍स्‍या	4.4.2.4
1056	Kagate	WORRY	150	ᶫtuŋal			worry, agony	चिन्ता, पिडा, पीर	n	तुःङाल	2.6.6.3
1057	Kagate	BLACKSMITH	1001	ᶫtuŋ‍gar			blacksmith	कामी	n	तुःङ्‍गार	9.7.1.3
1058	Kagate	WORRY	150	ᶫtuŋ‍gal			worry, agony	चिन्ता, पिडा	n	तुःङ्‍गाल	3.3
1059	Kagate			ᶫtuŋ‍dze			to play a musical instrument;to grind;to beat, to hit, to hit	बजाउनु, ठटाउनु;पिस्‍नु;पिट्नु, हान्‍नु, ठोक्नु	v	तुःङ्‍जे	2.1.1.2
1060	Kagate	ROOF	769	ᶫtuŋ‍so			roof, beam at the highest point of a roof	धुरी, छानो	n	तुःङ्‍सो	6.2.5.4
1061	Kagate	DUST	2	ᶫtudzup			dust;Pisces	धुलो, छारो;कण	n	तुःजुप	6.6.6
1062	Kagate	DUST	2	ᶫtudzub			dust	धुलोधूलि	n	तुःजुब	8.3.7.8.3
1063	Kagate			ᶫtudze			to pick, to pluck;to warm up (by sitting in sun or by a fire)	टिप्नु;ताप्नु	v	तुःजे	7.3.4.2
1064	Kagate	VAGINA	1836	tutu			vagina	योनी	n	तुतु	2.6.2.2
1065	Kagate			tup‍ken			weapons for cutting;person cutting	काट्ने हतियार;काट्ने व्यक्ति	n	तुप्‍केन	3.2.1.4
1066	Kagate	CUT	1432	tup‍tse			to cut	काट्‌नु	v	तुप्‍चे	8.4.7.1
1067	Kagate			tum‍dze			to make pack	पोका पार्नु	v	तुम्‍जे	6.1.2.3.2
1068	Kagate	PIECE	594	ᶫtum‍bu			piece	चोक्टा	n	तुःम्‍बु	8.1.6.2
1069	Kagate	GRAVE	1773	ᶫtursa			grave	चिहान	n	तुःर्सा	2.6.6.3
1070	Kagate	DIRT	25	ᶫtul			dirt, dust	कसिङ्गर, धुलो	n	तुःल	6.6.2.9
1071	Kagate	VACUUM (SOMETHING)	3135	ᶫtul tundi			vacuum	भ्याकुम	n	तुःल तुन्दी	6.5.3.1
1072	Kagate			tulasi ᶫloma			leaves of a tulsi plant	तुलसीको पात	n	तुलासी लोःमा	2.5.7.3
1073	Kagate	DIRT	25	ᶫtul‍dzub			dirt	कसिङ्गर	n	तुःल्‍जुब	
1074	Kagate			ᶫtusil			mourning time when person doesn't eat meat and not talking for 13 days	कृया पुत्री	n	तुःसील	
1075	Kagate			ᶫte			site	बस	n	तेः	3.4.1.2.1
1076	Kagate	SIT	1416	ᶫteka			to sit	बसौँ	v	तेःका	
1077	Kagate	THIS	1214	tekʰo			this, it	यो	pro	तेखो	3.2.3.1
1078	Kagate			tekʰola			for this	यसलाई	pro	तेखोला	3.2.4
1079	Kagate			teŋ kʰudze			can withdraw	झिक्न सक्नु	v	तेङ खुजे	3.2.4.2
1080	Kagate	GUILTY	1682	teŋen			inauspicious, guilty	अलक्षण, दोषी	adj	तेङेन	4.7.6.1
1081	Kagate			teŋen ᶫmi			inauspicious person	अलक्षण मानिस	adj	तेङेन मीः	4.3.2.4
1082	Kagate			teŋ‍geri			type of tree	लाभ्रे जिँङ्गुनी	n	तेङ्‍गेरी	1.5.1
1083	Kagate			teŋ‍dze			to turn out, to take out;guidance public exhibition	निकाल्नु, झिक्नु;प्रदर्शन, देखाउनु	v	तेङ्‍जे	6.6.2.7
1084	Kagate			teŋ‍dze tsal‍dze			to take evict	निकाल्नु लाग्नु	v	तेङ्‍जे चाल्‍जे	8.1.2.3
1085	Kagate	SIT	1416	ᶫtetse			to sit	बस्‍नु	v	तेःचे	2.5.1.1
1086	Kagate			ᶫtedam			plan, scheme	योजना	n	तेःदाम	3.3.1
1087	Kagate	THIS	1214	tedi			this	यो	pro	तेदी	
1088	Kagate	BED	1663	ten			bed	ओछ्‌यान, बास	n	तेन	1.2.2.2
1089	Kagate	WORK (LABOUR)	984	ᶫten			work;for;palace	काम;निम्ति;महल	n	तेःन	4.4.5
1090	Kagate	BED	1663	ten‍kap‍tsʲa			bed	बिस्तरा	n	तेन्‍काप्‍च्‍या	1.2.2.2
1091	Kagate			ten‍ɖule			in this way, like this	यसरी	adv	तेन्‍डुले	
1092	Kagate	CAUSE	860	ᶫten‍da			cause, reason	लक्ष्य, कारण		तेःन्‍दा	9.6.2.5.1
1093	Kagate			ten‍dam			really	साँच्‍चिकै	adv	तेन्‍दाम	3.2.1.1
1094	Kagate			ᶫten‍dam			really	साँच्‍चै	n	तेःन्‍दाम	3.5.1.3.1
1095	Kagate			ten‍du ᶫtsʲoŋ‍ra			as always, like always	सदा जस्तै	adj	तेन्‍दु च्‍योःङ्‍रा	8.1.5.4
1096	Kagate			ten‍dura			continually	सधैँ	adj	तेन्‍दुरा	8.4.7
1097	Kagate	FESTIVAL	131	ᶫten‍dela			festival	उत्सव	n	तेःन्‍देला	4.2.2.3
1098	Kagate			ᶫten‍la			work done in someone else's name	कसैको नाममा गरिने कार्य	n	तेःन्‍ला	4.9.2
1099	Kagate	SIT	1416	ᶫtepa			sit	बस्यो (सवाल)	adv	तेःपा	8.5.2.5
1100	Kagate	ADZE	290	tebu			adze	बसिला	n	तेबु	6.6.5.3
1101	Kagate			tema			extra	जगेडा	n	तेमा	3.2.3
1102	Kagate			ᶫtemal			leafy	पत्रे	adj	तेःमाल	1.2.2.2
1103	Kagate			temu			spectacle;conduct, behaviour	रमिता;चरित्र	n	तेमु	4.3.2.4
1104	Kagate	SOFT	1856	ᶫtemu			soft;easy, comfortable	नरम;सजिलो	adj	तेःमु	5.7
1105	Kagate			ᶫteme-ᶫtemei			almost	लगभग	adv	तेःमे-तेःमेइ	9.4.4.7
1106	Kagate			ᶫtemei			almost, approximately	झन्डै, करिब	adv	तेःमेइ	9.4.4.7
1107	Kagate			ᶫteᶫmetsʲaŋ			unemployed, useless	बेकार	adj	तेःमेःच्‍याङ	3.3.1.3
1108	Kagate			ᶫtemetsʲaŋ‍la			finally	आखिर	adv	तेःमेच्‍याङ्‍ला	8.4.6.4.3
1109	Kagate			ᶫtemen			worthless, useless	व्यर्थ	adj	तेःमेन	9.6.2.6.1
1110	Kagate			tem‍ba tsʰiriŋ			Temba Chhiring (name of a person)	तेम्बा छिरिङ	n	तेम्‍बा छीरीङ	9.7.1.1
1111	Kagate			ᶫtem‍bara			oh yes	हो नि त	interj	तेःम्‍बारा	4.9.4
1112	Kagate	GIVE	1447	ter-ter			give	लेउ-देउ	adv	तेर-तेर	3.3.4.1
1113	Kagate	GIVE	1447	tertse			to give	दिनु	v	तेर्चे	6.8.2.3
1114	Kagate	DISH	481	ᶫterma			dish, plate	थाल	n	तेःर्मा	5.2.2.8
1115	Kagate	HERE	136	tela			here	यहाँ	pro	तेला	6.5.1.1
1116	Kagate			ᶫteluŋ			sitting	बसाई	n	तेःलुङ	5.9
